league,split,patch,t1_playerid,t1_result,t2_playerid,t1_ban1,t1_ban2,t1_ban3,t1_ban4,t1_ban5,t2_ban1,t2_ban2,t2_ban3,t2_ban4,t2_ban5,t1p1_champion,t1p2_champion,t1p3_champion,t1p4_champion,t1p5_champion,t2p1_champion,t2p2_champion,t2p3_champion,t2p4_champion,t2p5_champion
LCS.A,Summer,10.13,Dignitas Academy,1,100 Thieves Academy,Volibear,Trundle,Syndra,LeBlanc,Malphite,Kalista,Varus,Nidalee,Kog'Maw,Zoe,Bard,Ziggs,Orianna,Graves,Wukong,Karma,Aphelios,Twisted Fate,Kindred,Renekton
LCS.A,Summer,10.13,Golden Guardians Academy,0,TSM Academy,Graves,Kalista,Volibear,Ornn,Thresh,Twisted Fate,Varus,Gangplank,Leona,Wukong,Bard,Ezreal,Orianna,Nocturne,Aatrox,Rakan,Aphelios,Azir,Trundle,Jayce
LCS.A,Summer,10.13,Cloud9 Academy,1,CLG Academy,Trundle,Twisted Fate,Aphelios,Gangplank,LeBlanc,Kalista,Karma,Ezreal,Hecarim,Syndra,Thresh,Varus,Orianna,Sett,Ornn,Pantheon,Taliyah,Sylas,Volibear,Aatrox
LCS.A,Summer,10.13,Team Liquid Academy,0,Immortals Academy,Karma,Kalista,Cassiopeia,Kai'Sa,Aphelios,Varus,Trundle,Thresh,Gangplank,Rakan,Braum,Ezreal,Jayce,Nidalee,Wukong,Nautilus,Sivir,Syndra,Graves,Ornn
LCS.A,Summer,10.13,Evil Geniuses Academy,1,FlyQuest Academy,LeBlanc,Twisted Fate,Trundle,Riven,Ornn,Varus,Volibear,Karma,Blitzcrank,Galio,Nautilus,Kalista,Irelia,Jarvan IV,Rumble,Thresh,Aphelios,Orianna,Rek'Sai,Aatrox
LCS.A,Summer,10.13,TSM Academy,1,CLG Academy,Ornn,Gangplank,Twisted Fate,Malphite,Thresh,Kalista,Karma,Varus,Jayce,Braum,Rakan,Ezreal,Zoe,Graves,Sett,Leona,Tristana,Orianna,Trundle,Wukong
LCS.A,Summer,10.13,Immortals Academy,1,Evil Geniuses Academy,Rumble,Irelia,Karma,Nautilus,Blitzcrank,Syndra,Sett,Graves,Braum,Thresh,Tahm Kench,Varus,Orianna,Lee Sin,Mordekaiser,Taric,Kalista,Galio,Trundle,Gangplank
LCS.A,Summer,10.13,Cloud9 Academy,1,Dignitas Academy,Trundle,Graves,Twisted Fate,Wukong,LeBlanc,Varus,Kalista,Cassiopeia,Gangplank,Jayce,Nautilus,Syndra,Orianna,Volibear,Camille,Thresh,Aphelios,Karma,Olaf,Aatrox
LCS.A,Summer,10.13,100 Thieves Academy,0,Golden Guardians Academy,Bard,Graves,Kalista,Gangplank,Yuumi,Varus,Volibear,Orianna,Ornn,Nautilus,Leona,Aphelios,Azir,Trundle,Urgot,Rakan,Ezreal,Twisted Fate,Nidalee,Wukong
LCS,Summer,10.13,100 Thieves,0,Golden Guardians,Twisted Fate,Kalista,Ezreal,Orianna,Wukong,Syndra,Varus,Nidalee,Azir,Trundle,Thresh,Aphelios,Cassiopeia,Volibear,Renekton,Tahm Kench,Ashe,Galio,Graves,Kennen
LCS,Summer,10.13,Counter Logic Gaming,0,Cloud9,Olaf,Kalista,Yuumi,Galio,Jayce,Twisted Fate,Varus,Volibear,Mordekaiser,LeBlanc,Nautilus,Aphelios,Syndra,Trundle,Malphite,Rakan,Ezreal,Rumble,Lee Sin,Wukong
LCS,Summer,10.13,Team SoloMid,1,Golden Guardians,Kalista,Ezreal,Tahm Kench,Gangplank,Ornn,Varus,Syndra,Zilean,Thresh,Nautilus,Bard,Aphelios,Twisted Fate,Volibear,Renekton,Karma,Ashe,Morgana,Graves,Mordekaiser
LCS,Summer,10.13,Dignitas,0,100 Thieves,Xayah,Karma,Syndra,Renekton,Yuumi,Aphelios,Varus,Azir,Thresh,Tahm Kench,Braum,Ashe,Twisted Fate,Graves,Ornn,Rakan,Ezreal,Orianna,Olaf,Gangplank
LCS,Summer,10.13,Evil Geniuses,0,FlyQuest,Azir,Syndra,Trundle,Bard,Mordekaiser,Twisted Fate,Aphelios,LeBlanc,Corki,Jayce,Yuumi,Ezreal,Kog'Maw,Olaf,Ornn,Senna,Varus,Orianna,Volibear,Sett
LCS,Summer,10.13,Team Liquid,1,Immortals,Trundle,Olaf,Ezreal,Braum,Kog'Maw,Varus,Syndra,Twisted Fate,LeBlanc,Jayce,Thresh,Aphelios,Azir,Lee Sin,Ornn,Karma,Ashe,Orianna,Graves,Malphite
LCS,Summer,10.13,Cloud9,1,Dignitas,Graves,Trundle,Azir,Nautilus,,Varus,Olaf,Thresh,Lee Sin,Bard,Yuumi,Ezreal,Twisted Fate,Volibear,Sett,Karma,Aphelios,Morgana,Wukong,Mordekaiser
LCS,Summer,10.13,FlyQuest,0,Team Liquid,Twisted Fate,Aphelios,Lee Sin,Thresh,Jayce,Volibear,Varus,Trundle,Wukong,Ornn,Rakan,Ezreal,Syndra,Sett,Maokai,Nautilus,Kalista,Azir,Graves,Kennen
LCS,Summer,10.13,Team SoloMid,1,Counter Logic Gaming,Ezreal,Trundle,Cassiopeia,Orianna,Rek'Sai,Varus,Syndra,Twisted Fate,Braum,Morgana,Leona,Aphelios,Azir,Lee Sin,Ornn,Nautilus,Miss Fortune,Corki,Volibear,Gangplank
LCS,Summer,10.13,Immortals,0,Evil Geniuses,Kalista,Twisted Fate,Varus,Leona,LeBlanc,Nidalee,Syndra,Malphite,Ornn,Sett,Rakan,Ezreal,Azir,Lee Sin,Urgot,Nautilus,Aphelios,Orianna,Trundle,Volibear
LCS.A,Summer,10.13,Team Liquid Academy,1,CLG Academy,Sett,Trundle,Twisted Fate,Leona,Nautilus,Ezreal,Kalista,Varus,Kai'Sa,Xayah,Braum,Aphelios,Irelia,Volibear,Kennen,Rakan,Miss Fortune,Orianna,Lee Sin,Jayce
LCS.A,Summer,10.13,FlyQuest Academy,1,100 Thieves Academy,Trundle,Karma,Olaf,Gangplank,Malphite,Varus,Kalista,Twisted Fate,Graves,Nidalee,Leona,Ezreal,Kog'Maw,Volibear,Wukong,Nautilus,Ashe,Orianna,Sett,Rumble
LCS.A,Summer,10.13,Cloud9 Academy,1,TSM Academy,Trundle,Aphelios,Kalista,Malphite,Zoe,Ezreal,Thresh,Varus,Kassadin,Gangplank,Nautilus,Syndra,Corki,Volibear,Camille,Wukong,Senna,Azir,Graves,Ornn
LCS.A,Summer,10.13,Evil Geniuses Academy,1,Golden Guardians Academy,Bard,Senna,Twisted Fate,Trundle,Zoe,Karma,Kalista,Varus,Irelia,Azir,Lulu,Aphelios,Galio,Volibear,Ornn,Rakan,Ezreal,Orianna,Sett,Gangplank
LCS.A,Summer,10.13,Immortals Academy,1,Dignitas Academy,Trundle,Twisted Fate,Karma,Riven,Blitzcrank,Varus,Ezreal,Kalista,LeBlanc,Ornn,Tahm Kench,Ashe,Azir,Graves,Aatrox,Sett,Syndra,Orianna,Volibear,Wukong
LCS.A,Summer,10.13,Dignitas Academy,1,FlyQuest Academy,Trundle,Karma,Ezreal,Nocturne,Rek'Sai,Varus,Volibear,Twisted Fate,Riven,Orianna,Sett,Kalista,Galio,Wukong,Jayce,Tahm Kench,Ashe,Corki,Lee Sin,Aatrox
