league,split,patch,t1_playerid,t1_result,t2_playerid,t1_ban1,t1_ban2,t1_ban3,t1_ban4,t1_ban5,t2_ban1,t2_ban2,t2_ban3,t2_ban4,t2_ban5,t1p1_champion,t1p2_champion,t1p3_champion,t1p4_champion,t1p5_champion,t2p1_champion,t2p2_champion,t2p3_champion,t2p4_champion,t2p5_champion
LCS,Summer,10.14,Immortals,0,Cloud9,Twisted Fate,Aphelios,Olaf,Alistar,Wukong,Karma,Graves,Orianna,Malphite,Ornn,Nautilus,Ashe,Zoe,Sett,Maokai,Morgana,Kalista,Galio,Volibear,Kennen
LCS,Summer,10.14,Dignitas,1,Evil Geniuses,Rumble,Ezreal,Olaf,Gangplank,Jayce,Azir,Kalista,Karma,Riven,Bard,Blitzcrank,Ashe,Orianna,Graves,Volibear,Thresh,Aphelios,Galio,Sett,Camille
LCS,Summer,10.14,Cloud9,0,Team Liquid,Azir,Kalista,LeBlanc,Orianna,Gangplank,Twisted Fate,Olaf,Volibear,Jayce,Galio,Lux,Sona,Sett,Hecarim,Shen,Blitzcrank,Ezreal,Syndra,Trundle,Mordekaiser
LCS,Summer,10.14,Counter Logic Gaming,0,Team SoloMid,Aphelios,Sett,Xayah,Azir,Lee Sin,Twisted Fate,Volibear,Olaf,Camille,Thresh,Braum,Ashe,Galio,Graves,Gnar,Karma,Ezreal,Cassiopeia,Jarvan IV,Ornn
LCS,Summer,10.14,Golden Guardians,1,100 Thieves,Graves,Nidalee,Azir,Jayce,Syndra,Twisted Fate,Ezreal,Galio,Ornn,Rumble,Sett,Aphelios,Zoe,Olaf,Karma,Bard,Ashe,Orianna,Lee Sin,Kennen
LCS.A,Summer,10.15,Team Liquid Academy,1,Dignitas Academy,Ashe,Volibear,Galio,Ornn,Graves,Kennen,Olaf,Sona,Sylas,Nidalee,Blitzcrank,Kai'Sa,Sett,Karthus,Gangplank,Thresh,Kalista,Twisted Fate,Lee Sin,Vladimir
LCS.A,Summer,10.15,Golden Guardians Academy,1,CLG Academy,Sona,Galio,Kalista,Caitlyn,Pantheon,Karma,Twisted Fate,Bard,Gangplank,Kayle,Rakan,Ezreal,Sett,Nidalee,Camille,Leona,Xayah,Rumble,Vi,Ornn
LCS.A,Summer,10.15,TSM Academy,0,Cloud9 Academy,Galio,Olaf,Kalista,Gangplank,Nautilus,Twisted Fate,Trundle,Ezreal,Orianna,Ornn,Thresh,Ashe,Irelia,Gragas,Sett,Tahm Kench,Senna,Zoe,Volibear,Wukong
LCS.A,Summer,10.15,Immortals Academy,1,100 Thieves Academy,Karma,Olaf,Kalista,Thresh,Camille,Ezreal,Galio,Sona,Gangplank,Wukong,Pantheon,Jhin,Twisted Fate,Volibear,Mordekaiser,Tahm Kench,Ashe,Orianna,Trundle,Sett
LCS.A,Summer,10.15,FlyQuest Academy,0,Evil Geniuses Academy,Galio,Karma,Kalista,Jayce,Camille,Azir,Pantheon,Volibear,Bard,Trundle,Sett,Ezreal,Sylas,Graves,Ornn,Nautilus,Ashe,Twisted Fate,Olaf,Shen
LCS.A,Summer,10.15,Cloud9 Academy,1,Golden Guardians Academy,Olaf,Galio,Ezreal,Tahm Kench,Malphite,Sett,Volibear,Thresh,Gangplank,Camille,Bard,Kalista,Twisted Fate,Rek'Sai,Wukong,Alistar,Ashe,Orianna,Graves,Shen
LCS.A,Summer,10.15,CLG Academy,1,Team Liquid Academy,Kennen,Volibear,Ashe,Aatrox,Ryze,Galio,Sett,Rumble,Ornn,Twisted Fate,Nautilus,Kalista,Orianna,Vi,Vladimir,Tahm Kench,Ezreal,Irelia,Olaf,Karma
LCS.A,Summer,10.15,Dignitas Academy,1,Immortals Academy,Sona,Twisted Fate,Ezreal,Pantheon,Ornn,Kalista,Olaf,Thresh,Galio,LeBlanc,Karma,Jhin,Karthus,Volibear,Wukong,Bard,Ashe,Azir,Sett,Kennen
LCS.A,Summer,10.15,100 Thieves Academy,1,FlyQuest Academy,Galio,Sona,Volibear,Rek'Sai,Gangplank,Kalista,Karma,Twisted Fate,Bard,Leona,Braum,Ezreal,Syndra,Lee Sin,Renekton,Nautilus,Aphelios,Orianna,Sett,Quinn
LCS.A,Summer,10.15,Evil Geniuses Academy,1,TSM Academy,Azir,Trundle,Karma,Ornn,Malphite,Galio,Kalista,Olaf,Nidalee,Gangplank,Nautilus,Jhin,Twisted Fate,Graves,Volibear,Tahm Kench,Ashe,Sylas,Sett,Renekton
LCS,Summer,10.15,Team Liquid,1,Dignitas,Ashe,Caitlyn,Graves,Riven,Kennen,Lee Sin,Kalista,Olaf,Tahm Kench,Jayce,Braum,Ezreal,LeBlanc,Volibear,Shen,Rakan,Kai'Sa,Azir,Sett,Renekton
LCS,Summer,10.15,Evil Geniuses,0,Team SoloMid,Olaf,LeBlanc,Kalista,Twisted Fate,Irelia,Gangplank,Ezreal,Karma,Ornn,Rumble,Senna,Ashe,Zoe,Graves,Kennen,Morgana,Caitlyn,Zilean,Volibear,Malphite
LCS,Summer,10.15,100 Thieves,0,FlyQuest,Orianna,Ornn,Ashe,Blitzcrank,Trundle,Twisted Fate,Olaf,Karma,Jayce,Morgana,Nautilus,Caitlyn,Zoe,Volibear,Renekton,Thresh,Senna,LeBlanc,Sett,Shen
LCS,Summer,10.15,Cloud9,0,Golden Guardians,Karma,Caitlyn,Galio,Twisted Fate,LeBlanc,Olaf,Sona,Nidalee,Shen,Kayle,Nautilus,Aphelios,Zoe,Trundle,Sett,Morgana,Kalista,Syndra,Volibear,Sion
LCS,Summer,10.15,Counter Logic Gaming,0,Team Liquid,Azir,Ezreal,Mordekaiser,Ornn,Kennen,Volibear,Karma,Camille,Jayce,Gangplank,Morgana,Caitlyn,Syndra,Sett,Rumble,Tahm Kench,Ashe,LeBlanc,Graves,Renekton
LCS,Summer,10.15,Dignitas,0,Immortals,Olaf,Karma,Volibear,Urgot,Poppy,Kalista,Bard,Graves,Morgana,Blitzcrank,Lux,Caitlyn,LeBlanc,Lee Sin,Sett,Thresh,Ashe,Corki,Trundle,Ornn
LCS,Summer,10.15,Golden Guardians,1,Counter Logic Gaming,Camille,Caitlyn,Karma,Azir,Jayce,Olaf,Galio,Nidalee,Tahm Kench,Renekton,Bard,Aphelios,Twisted Fate,Sett,Kennen,Morgana,Kalista,Ryze,Volibear,Maokai
LCS,Summer,10.15,Team SoloMid,1,Cloud9,Olaf,Kalista,Ezreal,Galio,Renekton,Graves,Nidalee,Xayah,LeBlanc,Sylas,Morgana,Caitlyn,Twisted Fate,Sett,Irelia,Karma,Ashe,Azir,Volibear,Kennen
LCS,Summer,10.15,Evil Geniuses,0,FlyQuest,Orianna,Azir,LeBlanc,Ahri,Shen,Twisted Fate,Karma,Olaf,Bard,Graves,Nautilus,Ezreal,Syndra,Volibear,Rumble,Thresh,Ashe,Corki,Trundle,Sett
LCS,Summer,10.15,100 Thieves,1,Immortals,Ornn,Orianna,Ashe,Urgot,Thresh,Karma,Olaf,Renekton,Morgana,Blitzcrank,Tahm Kench,Caitlyn,Syndra,Graves,Gangplank,Nautilus,Jhin,Zoe,Sett,Sion
LCS.A,Summer,10.15,CLG Academy,1,FlyQuest Academy,Lillia,Karma,Bard,Trundle,Morgana,Galio,Twisted Fate,Volibear,Zoe,Kha'Zix,Blitzcrank,Ezreal,Corki,Sett,Gangplank,Nautilus,Caitlyn,Azir,Lee Sin,Jayce
LCS.A,Summer,10.15,Evil Geniuses Academy,0,100 Thieves Academy,Azir,Karma,Sett,Orianna,Renekton,Ezreal,Galio,Volibear,Nidalee,Olaf,Nautilus,Jhin,Twisted Fate,Graves,Camille,Braum,Ashe,Sylas,Lee Sin,Mordekaiser
LCS.A,Summer,10.15,Immortals Academy,1,Team Liquid Academy,Olaf,Trundle,Karma,Blitzcrank,Wukong,Galio,Twisted Fate,Pantheon,Cassiopeia,Azir,Tahm Kench,Caitlyn,LeBlanc,Volibear,Kennen,Bard,Ashe,Sett,Gragas,Lillia
LCS.A,Summer,10.15,Dignitas Academy,1,Cloud9 Academy,Sona,Azir,Galio,Wukong,Gangplank,Olaf,Karthus,Twisted Fate,LeBlanc,Graves,Karma,Ashe,Sett,Nidalee,Renekton,Blitzcrank,Kalista,Orianna,Volibear,Jayce
LCS.A,Summer,10.15,TSM Academy,1,Golden Guardians Academy,Twisted Fate,Galio,Sett,Lissandra,Renekton,Kalista,Ezreal,Volibear,Thresh,Nautilus,Bard,Senna,LeBlanc,Olaf,Camille,Karma,Ashe,Corki,Graves,Shen
LCS.A,Summer,10.15,FlyQuest Academy,1,Immortals Academy,Twisted Fate,Olaf,Ezreal,LeBlanc,Corki,Trundle,Wukong,Karma,Morgana,Tahm Kench,Leona,Caitlyn,Azir,Volibear,Lillia,Nautilus,Kalista,Kog'Maw,Sett,Jayce
LCS.A,Summer,10.15,100 Thieves Academy,1,Dignitas Academy,Karthus,Kalista,Nidalee,Tahm Kench,Thresh,Karma,Sett,Azir,Yuumi,Olaf,Bard,Ezreal,Galio,Graves,Camille,Braum,Ashe,LeBlanc,Volibear,Renekton
LCS.A,Summer,10.15,Golden Guardians Academy,1,Evil Geniuses Academy,Kalista,Volibear,Irelia,Bard,Lee Sin,Twisted Fate,Karma,Sett,Rakan,Sona,Thresh,Ashe,Galio,Nidalee,Camille,Braum,Ezreal,Zoe,Olaf,Renekton
LCS.A,Summer,10.15,Team Liquid Academy,0,TSM Academy,Ashe,Volibear,Karma,Graves,Rek'Sai,Olaf,Galio,Sett,Irelia,Lucian,Thresh,Jhin,Kalista,Karthus,Lillia,Morgana,Caitlyn,LeBlanc,Skarner,Jayce
LCS,Summer,10.15,Dignitas,0,Cloud9,Olaf,Kalista,Ezreal,Jayce,Galio,Volibear,Shen,Kha'Zix,Azir,Karthus,Karma,Ashe,Sett,Lillia,Renekton,Nautilus,Senna,Orianna,Nidalee,Gangplank
LCS,Summer,10.15,Team SoloMid,1,Golden Guardians,Olaf,Kalista,Karma,Galio,Pantheon,Twisted Fate,Volibear,Caitlyn,Akali,Zilean,Yuumi,Lucian,LeBlanc,Sett,Shen,Bard,Ezreal,Sylas,Nidalee,Renekton
LCS,Summer,10.15,Evil Geniuses,1,Golden Guardians,Olaf,Karma,Caitlyn,Ornn,Sion,Gangplank,Volibear,Zoe,Irelia,Galio,Tahm Kench,Senna,Azir,Sett,Gnar,Bard,Kalista,Ekko,Nidalee,Renekton
LCS,Summer,10.15,Immortals,0,Team Liquid,Kalista,Gangplank,Orianna,LeBlanc,Shen,Karma,Twisted Fate,Corki,Malphite,Galio,Morgana,Caitlyn,Azir,Olaf,Sion,Thresh,Ashe,Akali,Volibear,Ornn
LCS,Summer,10.15,Counter Logic Gaming,0,FlyQuest,Azir,Renekton,Swain,Rakan,Thresh,Camille,Caitlyn,Galio,LeBlanc,Rumble,Bard,Ezreal,Syndra,Sett,Kennen,Pyke,Ashe,Orianna,Trundle,Mordekaiser
LCS,Summer,10.15,Evil Geniuses,0,100 Thieves,Olaf,Karma,Caitlyn,Jayce,Renekton,Rumble,Ezreal,Sett,Azir,Gangplank,Thresh,Kalista,Corki,Graves,Shen,Tahm Kench,Ashe,Galio,Nidalee,Camille
LCS,Summer,10.15,Counter Logic Gaming,0,Cloud9,Olaf,Ezreal,Karma,LeBlanc,Akali,Galio,Sett,Caitlyn,Blitzcrank,Morgana,Alistar,Aphelios,Orianna,Volibear,Ornn,Thresh,Kalista,Zoe,Graves,Gangplank
LCS,Summer,10.15,FlyQuest,1,Immortals,Karma,Olaf,Ashe,Tahm Kench,Jhin,Sett,Volibear,Caitlyn,Gangplank,Kalista,Thresh,Aphelios,Orianna,Graves,Maokai,Braum,Ezreal,Twisted Fate,Nidalee,Ornn
LCS,Summer,10.15,Counter Logic Gaming,0,Dignitas,Azir,Nidalee,Karma,Riven,Thresh,Galio,Jayce,Caitlyn,LeBlanc,Syndra,Bard,Ezreal,Twisted Fate,Sett,Camille,Soraka,Ashe,Zoe,Olaf,Shen
LCS,Summer,10.16,Team SoloMid,0,Golden Guardians,Olaf,Kalista,Ekko,Nidalee,Camille,Akali,Zilean,LeBlanc,Graves,Shen,Bard,Caitlyn,Azir,Lee Sin,Ornn,Morgana,Ashe,Ziggs,Sett,Gangplank
LCS.A,Summer,10.16,Golden Guardians Academy,1,CLG Academy,Kalista,Pantheon,Galio,Blitzcrank,Nautilus,Twisted Fate,Nidalee,Camille,Vladimir,Corki,Thresh,Caitlyn,Ekko,Graves,Tryndamere,Morgana,Jhin,Azir,Skarner,Gangplank
LCS.A,Summer,10.16,Golden Guardians Academy,0,CLG Academy,Kalista,Pantheon,Galio,Vladimir,Ornn,Camille,Nidalee,Twisted Fate,Sejuani,Gangplank,Morgana,Caitlyn,Azir,Trundle,Wukong,Senna,Ashe,Orianna,Olaf,Mordekaiser
LCS.A,Summer,10.16,CLG Academy,0,Golden Guardians Academy,Nidalee,Camille,Twisted Fate,Tryndamere,Gangplank,Kalista,Galio,Caitlyn,Yuumi,Blitzcrank,Sett,Lucian,Orianna,Vi,Ornn,Thresh,Ashe,Azir,Graves,Kayle
LCS.A,Summer,10.16,Golden Guardians Academy,0,CLG Academy,Kalista,Galio,Caitlyn,Mordekaiser,Olaf,Camille,Twisted Fate,Nidalee,Tryndamere,Ekko,Thresh,Ashe,Akali,Graves,Gangplank,Blitzcrank,Senna,Azir,Vi,Vladimir
LCS.A,Summer,10.16,CLG Academy,1,Golden Guardians Academy,Nidalee,Camille,Twisted Fate,Tryndamere,Gangplank,Kalista,Galio,Caitlyn,Ezreal,Senna,Alistar,Draven,Azir,Trundle,Ornn,Braum,Ashe,Karma,Olaf,Kayle
LCS,Summer,10.16,FlyQuest,1,Evil Geniuses,Kalista,Olaf,Karma,Gangplank,Rumble,Blitzcrank,Morgana,Sett,Renekton,Corki,Thresh,Caitlyn,Swain,Volibear,Shen,Tahm Kench,Ashe,Galio,Graves,Hecarim
LCS,Summer,10.16,Evil Geniuses,0,FlyQuest,Blitzcrank,Trundle,Renekton,Corki,Orianna,Caitlyn,Olaf,Gangplank,Rumble,Shen,Rakan,Xayah,Azir,Sett,Hecarim,Gragas,Ashe,Syndra,Volibear,Mordekaiser
LCS,Summer,10.16,Evil Geniuses,1,FlyQuest,Blitzcrank,Trundle,Mordekaiser,Bard,Corki,Caitlyn,Olaf,Kalista,Gangplank,Azir,Tahm Kench,Senna,Orianna,Sett,Gnar,Rakan,Ashe,Syndra,Volibear,Renekton
LCS,Summer,10.16,FlyQuest,0,Evil Geniuses,Kalista,Olaf,Karma,Gangplank,Gnar,Blitzcrank,Sett,Caitlyn,Renekton,Corki,Bard,Ashe,Orianna,Volibear,Jayce,Tahm Kench,Senna,LeBlanc,Graves,Shen
LCS,Summer,10.16,FlyQuest,1,Evil Geniuses,Kalista,Olaf,Tahm Kench,Karma,LeBlanc,Sett,Caitlyn,Ashe,Jayce,Corki,Thresh,Senna,Kog'Maw,Graves,Mordekaiser,Braum,Ezreal,Azir,Sejuani,Gangplank
LCS.A,Summer,10.16,100 Thieves Academy,0,Evil Geniuses Academy,Caitlyn,Galio,Kalista,Thresh,Shen,Azir,Ziggs,Lee Sin,Bard,Yuumi,Tahm Kench,Ezreal,Orianna,Sett,Gangplank,Nautilus,Ashe,Akali,Nidalee,Renekton
LCS.A,Summer,10.16,100 Thieves Academy,0,Evil Geniuses Academy,Caitlyn,Galio,Kalista,Shen,Renekton,Azir,Ziggs,Sett,Bard,Yuumi,Braum,Ezreal,Orianna,Lee Sin,Ornn,Tahm Kench,Senna,Akali,Nidalee,Volibear
LCS.A,Summer,10.16,Evil Geniuses Academy,1,100 Thieves Academy,Azir,Ziggs,Galio,Gangplank,Sylas,Ezreal,Nidalee,Irelia,Olaf,Kindred,Morgana,Caitlyn,Akali,Lee Sin,Renekton,Karma,Ashe,LeBlanc,Graves,Shen
LCS,Summer,10.16,Dignitas,0,Team SoloMid,LeBlanc,Akali,Ashe,Nidalee,Zilean,Azir,Graves,Caitlyn,Tahm Kench,Zoe,Braum,Senna,Orianna,Olaf,Renekton,Karma,Aphelios,Syndra,Sett,Shen
LCS,Summer,10.16,Dignitas,0,Team SoloMid,LeBlanc,Akali,Ashe,Irelia,Zilean,Azir,Graves,Caitlyn,Olaf,Tahm Kench,Leona,Senna,Zoe,Kayn,Renekton,Braum,Ezreal,Sett,Nidalee,Shen
LCS,Summer,10.16,Team SoloMid,1,Dignitas,Azir,Graves,Nidalee,Lee Sin,Riven,LeBlanc,Akali,Irelia,Zilean,Shen,Morgana,Caitlyn,Twisted Fate,Olaf,Camille,Karma,Ashe,Zoe,Kindred,Ornn
LCS,Summer,10.16,Evil Geniuses,1,100 Thieves,Olaf,Galio,Caitlyn,Morgana,Thresh,Sett,Senna,Ezreal,Shen,Gangplank,Rakan,Xayah,Orianna,Graves,Ornn,Tahm Kench,Ashe,Twisted Fate,Nidalee,Renekton
LCS,Summer,10.16,100 Thieves,0,Evil Geniuses,Sett,Gangplank,Senna,LeBlanc,Akali,Olaf,Galio,Morgana,Bard,Thresh,Blitzcrank,Caitlyn,Zoe,Nidalee,Renekton,Tahm Kench,Ashe,Twisted Fate,Graves,Shen
LCS,Summer,10.16,Evil Geniuses,1,100 Thieves,Olaf,Galio,Caitlyn,Bard,Jayce,Sett,Kalista,Shen,Corki,Ornn,Yuumi,Lucian,Zoe,Graves,Hecarim,Pantheon,Ezreal,LeBlanc,Lee Sin,Malphite
