"Champion","Pos","GP","P%","B%","P+B%","W%","CTR%","K","D","A","KDA","KP","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","GOLD%","WPM","WCPM"
"Orianna","Middle",15,"30.0%","46.0%","76.0%","87%","-",60,16,102,10.1,"78.6%","16.2%","-","-","-","-","-","-","-","-","27.1%","-","-"
"Riven","Top",2,"4.0%","0.0%","4.0%","0%","-",4,12,2,0.5,"30.0%","30.0%","-","-","-","-","-","-","-","-","19.7%","-","-"
"Ryze","Middle",5,"10.0%","0.0%","10.0%","20%","-",11,20,17,1.4,"62.2%","25.6%","-","-","-","-","-","-","-","-","23.2%","-","-"
"Shen","Jungle",14,"28.0%","20.0%","76.0%","21%","-",24,35,78,2.9,"69.9%","16.4%","-","-","-","-","-","-","-","-","17.2%","-","-"
"Shen","Top",14,"28.0%","20.0%","76.0%","50%","-",43,34,91,3.9,"76.1%","18.1%","-","-","-","-","-","-","-","-","23.5%","-","-"
"Shyvana","Jungle",8,"16.0%","2.0%","18.0%","0%","-",7,28,34,1.5,"65.1%","20.7%","-","-","-","-","-","-","-","-","15.9%","-","-"
"Singed","Top",3,"6.0%","0.0%","6.0%","100%","-",12,4,20,8,"59.3%","16.7%","-","-","-","-","-","-","-","-","22.7%","-","-"
"Sivir","-",0,"0%","6.0%","6.0%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Skarner","Jungle",16,"32.0%","34.0%","66.0%","75%","-",24,42,114,3.3,"64.8%","21.9%","-","-","-","-","-","-","-","-","16.0%","-","-"
"Sona","Support",25,"50.0%","24.0%","74.0%","72%","-",32,56,287,5.7,"79.8%","19.6%","-","-","-","-","-","-","-","-","12.3%","-","-"
"Soraka","Support",2,"4.0%","0.0%","4.0%","100%","-",2,0,22,24,"85.7%","0.0%","-","-","-","-","-","-","-","-","12.4%","-","-"
"Swain","Middle",1,"2.0%","0.0%","2.0%","0%","-",8,5,10,3.6,"72.0%","21.7%","-","-","-","-","-","-","-","-","23.2%","-","-"
"Taric","Support",11,"22.0%","0.0%","22.0%","36%","-",4,34,81,2.5,"71.4%","23.6%","-","-","-","-","-","-","-","-","9.0%","-","-"
"Tristana","ADC",1,"2.0%","0.0%","2.0%","0%","-",0,5,0,0,"0.0%","21.7%","-","-","-","-","-","-","-","-","22.5%","-","-"
"Twisted Fate","-",0,"0%","22.0%","22.0%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Twitch","-",0,"0%","4.0%","4.0%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Udyr","Jungle",7,"14.0%","0.0%","14.0%","0%","-",4,26,13,0.7,"35.4%","17.6%","-","-","-","-","-","-","-","-","17.0%","-","-"
"Vayne","ADC",8,"16.0%","0.0%","16.0%","75%","-",58,22,52,5,"72.4%","26.2%","-","-","-","-","-","-","-","-","25.3%","-","-"
"Vladimir","Middle",10,"20.0%","16.0%","48.0%","60%","-",42,35,72,3.3,"68.3%","23.5%","-","-","-","-","-","-","-","-","23.7%","-","-"
"Vladimir","Top",6,"12.0%","16.0%","48.0%","33%","-",22,12,10,2.7,"59.3%","18.2%","-","-","-","-","-","-","-","-","28.5%","-","-"
"Xin Zhao","Jungle",2,"4.0%","0.0%","8.0%","100%","-",4,0,30,34,"73.9%","0.0%","-","-","-","-","-","-","-","-","17.1%","-","-"
"Xin Zhao","Top",2,"4.0%","0.0%","8.0%","100%","-",4,10,32,3.6,"75.0%","25.0%","-","-","-","-","-","-","-","-","16.4%","-","-"
"Yorick","Top",11,"22.0%","16.0%","38.0%","27%","-",26,31,50,2.5,"59.4%","20.1%","-","-","-","-","-","-","-","-","20.9%","-","-"
"Zilean","Middle",4,"8.0%","0.0%","8.0%","50%","-",14,14,32,3.3,"88.5%","25.9%","-","-","-","-","-","-","-","-","26.6%","-","-"
"Zyra","Support",8,"16.0%","0.0%","16.0%","50%","-",0,22,76,3.5,"73.1%","18.6%","-","-","-","-","-","-","-","-","10.9%","-","-"
