"Champion","Pos","GP","P%","B%","P+B%","W%","CTR%","K","D","A","KDA","KP","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","GOLD%","WPM","WCPM"
"Ahri","Middle",2,"4.0%","4.0%","8.0%","100%","-",12,0,6,18,"69.2%","-","-","-","-","-","-","-","-","-","21.5%","-","-"
"Alistar","Jungle",1,"2.0%","38.0%","52.0%","0%","-",0,3,2,0.7,"50.0%","21.4%","-","-","-","-","-","-","-","-","6.9%","-","-"
"Alistar","Support",6,"12.0%","38.0%","52.0%","33%","-",5,25,38,1.7,"64.2%","23.8%","-","-","-","-","-","-","-","-","10.2%","-","-"
"Amumu","Jungle",2,"4.0%","0.0%","4.0%","100%","-",8,12,32,3.3,"71.4%","23.1%","-","-","-","-","-","-","-","-","16.5%","-","-"
"Anivia","Middle",12,"24.0%","40.0%","64.0%","50%","-",39,19,72,5.8,"65.7%","11.9%","-","-","-","-","-","-","-","-","26.3%","-","-"
"Blitzcrank","Support",9,"18.0%","48.0%","66.0%","67%","-",9,23,77,3.7,"58.1%","16.3%","-","-","-","-","-","-","-","-","11.1%","-","-"
"Caitlyn","ADC",4,"8.0%","0.0%","8.0%","50%","-",13,4,11,6,"72.7%","11.4%","-","-","-","-","-","-","-","-","28.7%","-","-"
"Cassiopeia","Middle",5,"10.0%","0.0%","10.0%","20%","-",27,16,17,2.8,"66.7%","18.8%","-","-","-","-","-","-","-","-","26.0%","-","-"
"Cho'Gath","Jungle",3,"6.0%","4.0%","10.0%","33%","-",5,7,11,2.3,"69.6%","13.7%","-","-","-","-","-","-","-","-","16.5%","-","-"
"Corki","ADC",13,"26.0%","0.0%","26.0%","46%","-",49,39,80,3.3,"66.2%","19.9%","-","-","-","-","-","-","-","-","24.1%","-","-"
"Darius","Top",3,"6.0%","0.0%","6.0%","0%","-",8,12,10,1.5,"54.5%","26.1%","-","-","-","-","-","-","-","-","19.4%","-","-"
"Diana","Middle",1,"2.0%","6.0%","12.0%","0%","-",8,7,4,1.7,"75.0%","20.0%","-","-","-","-","-","-","-","-","25.0%","-","-"
"Diana","Top",2,"4.0%","6.0%","12.0%","50%","-",1,3,10,3.7,"78.6%","15.8%","-","-","-","-","-","-","-","-","19.9%","-","-"
"Dr. Mundo","Jungle",12,"24.0%","0.0%","24.0%","83%","-",9,17,79,5.2,"58.3%","20.7%","-","-","-","-","-","-","-","-","14.2%","-","-"
"Draven","-",0,"0%","4.0%","4.0%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Evelynn","Middle",4,"8.0%","34.0%","42.0%","100%","-",28,8,36,8,"68.1%","14.8%","-","-","-","-","-","-","-","-","24.1%","-","-"
"Ezreal","ADC",40,"80.0%","8.0%","88.0%","45%","-",158,91,272,4.7,"81.4%","16.1%","-","-","-","-","-","-","-","-","25.8%","-","-"
"Gangplank","-",0,"0%","2.0%","2.0%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Gragas","Middle",3,"6.0%","6.0%","12.0%","0%","-",3,4,8,2.8,"64.7%","11.1%","-","-","-","-","-","-","-","-","29.2%","-","-"
"Graves","ADC",11,"22.0%","0.0%","22.0%","45%","-",41,36,58,2.8,"70.7%","23.5%","-","-","-","-","-","-","-","-","24.2%","-","-"
"Irelia","Top",11,"22.0%","30.0%","52.0%","55%","-",28,36,52,2.2,"53.0%","20.5%","-","-","-","-","-","-","-","-","23.1%","-","-"
"Jarvan IV","Top",1,"2.0%","0.0%","2.0%","0%","-",6,3,14,6.7,"80.0%","13.0%","-","-","-","-","-","-","-","-","25.4%","-","-"
"Jax","Top",8,"16.0%","18.0%","34.0%","50%","-",20,21,41,2.9,"62.9%","22.1%","-","-","-","-","-","-","-","-","20.3%","-","-"
"Jayce","Top",19,"38.0%","50.0%","88.0%","63%","-",52,56,122,3.1,"69.9%","24.8%","-","-","-","-","-","-","-","-","21.4%","-","-"
"Karthus","Middle",25,"50.0%","20.0%","70.0%","44%","-",115,77,149,3.4,"81.7%","20.0%","-","-","-","-","-","-","-","-","27.2%","-","-"
"Katarina","Middle",1,"2.0%","8.0%","10.0%","0%","-",1,5,2,0.6,"60.0%","22.7%","-","-","-","-","-","-","-","-","20.7%","-","-"
"Kog'Maw","ADC",18,"36.0%","16.0%","52.0%","56%","-",63,43,97,3.7,"72.4%","18.4%","-","-","-","-","-","-","-","-","25.7%","-","-"
"Lee Sin","Jungle",5,"10.0%","14.0%","24.0%","100%","-",22,17,68,5.3,"70.9%","21.8%","-","-","-","-","-","-","-","-","16.8%","-","-"
"Leona","Support",11,"22.0%","0.0%","22.0%","18%","-",12,54,82,1.7,"62.3%","28.3%","-","-","-","-","-","-","-","-","9.8%","-","-"
"Lulu","Support",8,"16.0%","0.0%","16.0%","13%","-",7,34,46,1.6,"58.9%","21.3%","-","-","-","-","-","-","-","-","11.3%","-","-"
"Lux","Middle",5,"10.0%","2.0%","16.0%","40%","-",11,7,22,4.7,"62.3%","8.9%","-","-","-","-","-","-","-","-","24.2%","-","-"
"Lux","Support",2,"4.0%","2.0%","16.0%","50%","-",2,3,13,5,"68.2%","14.3%","-","-","-","-","-","-","-","-","13.9%","-","-"
"Malphite","Jungle",1,"2.0%","4.0%","14.0%","100%","-",2,0,13,15,"71.4%","0.0%","-","-","-","-","-","-","-","-","18.4%","-","-"
"Malphite","Top",4,"8.0%","4.0%","14.0%","25%","-",4,14,18,1.6,"62.9%","19.4%","-","-","-","-","-","-","-","-","17.9%","-","-"
"Maokai","Jungle",26,"52.0%","24.0%","76.0%","54%","-",48,60,240,4.8,"73.8%","18.8%","-","-","-","-","-","-","-","-","15.9%","-","-"
"Miss Fortune","ADC",5,"10.0%","0.0%","10.0%","60%","-",15,18,25,2.2,"62.5%","28.1%","-","-","-","-","-","-","-","-","23.5%","-","-"
"Morgana","Middle",7,"14.0%","4.0%","18.0%","29%","-",25,16,27,3.3,"69.3%","16.8%","-","-","-","-","-","-","-","-","24.8%","-","-"
"Nidalee","Top",5,"10.0%","14.0%","24.0%","100%","-",12,5,30,8.4,"53.2%","18.5%","-","-","-","-","-","-","-","-","22.7%","-","-"
"Nocturne","Jungle",3,"6.0%","0.0%","6.0%","0%","-",9,16,22,1.9,"60.8%","31.4%","-","-","-","-","-","-","-","-","17.3%","-","-"
"Nunu & Willump","Support",18,"36.0%","8.0%","44.0%","56%","-",12,47,120,2.8,"62.9%","26.3%","-","-","-","-","-","-","-","-","10.0%","-","-"
"Olaf","Top",9,"18.0%","4.0%","22.0%","44%","-",45,33,71,3.5,"65.9%","20.9%","-","-","-","-","-","-","-","-","21.8%","-","-"
