"Champion","Pos","GP","P%","B%","P+B%","W%","CTR%","K","D","A","KDA","KP","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","GOLD%","WPM","WCPM"
"Aatrox","Middle",1,"1.3%","2.6%","11.7%","100%","100%",2,1,8,10,"62.5%","25.0%","0%",-250,-184,-14,8.6,"23.2%",592,"28.3%","22.0%",0.35,0.08
"Aatrox","Top",6,"7.8%","2.6%","11.7%","50%","100%",15,17,17,1.9,"47.1%","21.8%","17%",-211,298,-2.3,7.4,"24.8%",389,"23.9%","21.0%",0.49,0.18
"Akali","Middle",12,"15.6%","59.7%","87.0%","67%","42%",44,14,47,6.5,"52.6%","10.9%","25%",98,139,0.4,8.9,"25.8%",413,"25.5%","23.8%",0.4,0.18
"Akali","Top",9,"11.7%","59.7%","87.0%","44%","11%",31,19,33,3.4,"49.2%","16.8%","0%",-126,-68,0.8,8.9,"26.5%",429,"24.8%","22.6%",0.44,0.16
"Alistar","Support",11,"14.3%","3.9%","18.2%","36%","82%",4,44,66,1.6,"59.3%","28.4%","18%",-89,35,2.8,1.5,"4.9%",112,"6.6%","8.1%",1.66,0.32
"Anivia","Middle",1,"1.3%","0.0%","1.3%","0%","0%",1,2,0,0.5,"25.0%","15.4%","0%",-872,-761,-17,11.2,"34.7%",109,"19.9%","27.8%",0.37,0.22
"Azir","Middle",3,"3.9%","0.0%","3.9%","33%","100%",9,10,12,2.1,"65.6%","21.3%","33%",145,358,7.3,8.9,"27.1%",486,"31.1%","24.2%",0.37,0.21
"Bard","Support",1,"1.3%","0.0%","1.3%","0%","100%",0,7,10,1.4,"83.3%","30.4%","0%",-656,272,-13,0.8,"3.5%",326,"12.3%","10.0%",2.46,0.44
"Blitzcrank","Support",6,"7.8%","7.8%","15.6%","33%","100%",8,27,45,2,"49.5%","28.4%","33%",318,303,-1.2,0.5,"1.7%",147,"8.2%","10.7%",1.75,0.36
"Braum","-",0,"0%","2.6%","2.6%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Caitlyn","ADC",1,"1.3%","0.0%","1.3%","0%","100%",4,3,5,3,"60.0%","11.5%","0%",697,-162,14,9.3,"36.9%",485,"28.9%","29.5%",0.44,0.22
