"Champion","Pos","GP","P%","B%","P+B%","W%","CTR%","K","D","A","KDA","KP","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","GOLD%","WPM","WCPM"
"Akali","Middle",5,"6.6%","11.8%","18.4%","60%","100%",25,12,21,3.8,"55.4%","14.3%","0%",22,150,-2.4,8.5,"23.1%",456,"21.2%","22.5%",0.32,0.23
"Alistar","Support",6,"7.9%","3.9%","11.8%","0%","83%",7,27,30,1.4,"62.7%","23.3%","0%",-141,37,1.7,1.1,"3.1%",114,"6.4%","8.7%",1.73,0.42
"Aphelios","ADC",6,"7.9%","2.6%","10.5%","50%","100%",20,14,28,3.4,"65.8%","18.2%","17%",266,267,3.3,9.1,"30.4%",549,"28.1%","25.5%",0.45,0.36
"Ashe","ADC",32,"42.1%","26.3%","68.4%","47%","34%",101,82,195,3.6,"66.8%","18.2%","28%",104,20,1.3,9.1,"29.4%",498,"24.8%","25.4%",0.4,0.38
"Azir","Middle",10,"13.2%","6.6%","19.7%","30%","90%",20,20,33,2.7,"53.5%","13.2%","10%",-65,52,-2,9.2,"27.4%",353,"24.1%","25.0%",0.38,0.27
"Bard","Support",15,"19.7%","15.8%","35.5%","60%","47%",9,34,158,4.9,"78.4%","18.3%","27%",-81,101,0.7,1.3,"3.8%",181,"8.9%","9.2%",2.11,0.52
"Blitzcrank","Support",4,"5.3%","5.3%","10.5%","50%","100%",4,10,23,2.7,"50.0%","20.4%","0%",329,118,-1.5,0.9,"2.5%",132,"7.9%","8.2%",1.39,0.25
"Braum","Support",7,"9.2%","3.9%","13.2%","57%","86%",7,16,48,3.4,"64.7%","24.6%","29%",98,98,1.7,1.1,"2.6%",178,"9.0%","8.9%",1.72,0.34
"Caitlyn","ADC",11,"14.5%","35.5%","50.0%","55%","27%",34,15,45,5.3,"60.3%","16.9%","18%",-24,-11,2.6,9.8,"29.8%",513,"30.7%","27.2%",0.43,0.38
"Camille","Top",14,"18.4%","55.3%","73.7%","57%","7%",65,45,63,2.8,"56.1%","23.1%","36%",197,36,-3.3,7.9,"25.4%",494,"24.4%","24.0%",0.38,0.23
"Draven","ADC",2,"2.6%","1.3%","3.9%","50%","100%",5,3,9,4.7,"66.7%","17.6%","0%",219,367,9,8.6,"25.6%",379,"22.5%","24.3%",0.5,0.3
"Ekko","Middle",7,"9.2%","3.9%","13.2%","71%","100%",21,7,43,9.1,"66.0%","12.1%","0%",-40,-73,-6.6,9.5,"26.3%",394,"23.2%","23.9%",0.37,0.3
"Evelynn","Jungle",4,"5.3%","7.9%","13.2%","50%","75%",15,11,13,2.5,"62.2%","23.4%","50%",-170,68,1,6.1,"16.3%",376,"22.1%","20.1%",0.43,0.14
"Ezreal","ADC",21,"27.6%","25.0%","52.6%","57%","76%",72,54,89,3,"62.6%","20.7%","19%",-181,-138,-3,9.3,"29.5%",683,"33.9%","25.8%",0.42,0.31
"Fiora","Top",2,"2.6%","0.0%","2.6%","50%","100%",10,8,5,1.9,"53.6%","21.6%","0%",-29,-57,0.5,9.4,"31.7%",620,"28.2%","26.9%",0.35,0.15
"Galio","Middle",15,"19.7%","5.3%","25.0%","40%","80%",36,40,85,3,"68.8%","20.8%","47%",-271,-212,-7.5,7.6,"21.0%",304,"16.7%","20.0%",0.47,0.14
"Gangplank","Top",11,"14.5%","9.2%","23.7%","45%","73%",36,31,57,3,"67.9%","21.5%","18%",75,-98,-3.7,8.6,"26.0%",643,"32.4%","27.2%",0.41,0.12
"Gnar","Top",1,"1.3%","0.0%","1.3%","100%","100%",1,2,7,4,"50.0%","33.3%","0%",-247,-33,9,8.5,"23.3%",356,"19.8%","20.0%",0.43,0.24
"Gragas","Jungle",3,"3.9%","3.9%","7.9%","67%","33%",11,6,20,5.2,"59.6%","13.3%","33%",-155,-131,-0.3,5.9,"19.8%",391,"18.8%","18.2%",0.81,0.35
"Graves","Jungle",52,"68.4%","23.7%","92.1%","44%","17%",180,142,256,3.1,"67.6%","19.9%","27%",-15,-13,-0.2,6.9,"21.8%",391,"19.9%","21.2%",0.49,0.5
"Hecarim","Jungle",4,"5.3%","5.3%","10.5%","50%","75%",12,8,20,4,"62.7%","19.5%","0%",-180,71,0.8,6.3,"18.7%",259,"14.2%","19.1%",0.28,0.31
"Irelia","Top",2,"2.6%","7.9%","10.5%","50%","100%",8,7,6,2,"56.0%","36.8%","100%",377,586,20,9.7,"30.3%",448,"26.4%","26.7%",0.48,0.12
"Jarvan IV","Jungle",3,"3.9%","2.6%","6.6%","67%","67%",3,7,33,5.1,"81.8%","17.9%","67%",-264,-84,0.3,5,"12.3%",202,"8.2%","14.5%",0.54,0.62
"Jax","Top",7,"9.2%","6.6%","15.8%","71%","71%",29,19,28,3,"54.3%","24.1%","29%",-62,-104,-5.6,8.6,"26.7%",454,"23.0%","23.9%",0.49,0.16
"Jayce","Middle",3,"3.9%","3.9%","14.5%","33%","33%",11,13,13,1.8,"66.7%","21.0%","0%",92,116,9.7,8.2,"23.3%",647,"31.7%","24.2%",0.41,0.2
"Jayce","Top",5,"6.6%","3.9%","14.5%","20%","40%",16,17,8,1.4,"63.2%","24.6%","20%",159,118,10,8.9,"24.9%",621,"36.0%","25.3%",0.41,0.37
"Jhin","ADC",31,"40.8%","14.5%","55.3%","65%","48%",131,44,172,6.9,"66.9%","12.7%","26%",153,189,0.9,9.1,"28.7%",486,"24.5%","25.6%",0.45,0.27
"Kalista","ADC",8,"10.5%","22.4%","32.9%","25%","63%",16,27,35,1.9,"59.3%","22.1%","25%",214,69,6,9,"29.5%",326,"19.8%","25.0%",0.6,0.44
"Karma","Support",4,"5.3%","5.3%","10.5%","75%","50%",1,6,26,4.5,"77.1%","22.2%","0%",-135,-93,-12.8,0.7,"2.5%",160,"8.8%","8.5%",1.43,0.44
"Karthus","ADC",1,"1.3%","1.3%","2.6%","0%","0%",3,6,7,1.7,"66.7%","21.4%","0%",-88,290,-17,7.4,"26.5%",773,"34.2%","23.0%",0.37,0.06
"Kassadin","Middle",2,"2.6%","3.9%","6.6%","0%","50%",5,12,1,0.5,"42.9%","26.7%","0%",-1266,-562,-24,6.9,"27.6%",302,"21.2%","23.8%",0.41,0.1
"Kayle","Top",1,"1.3%","0.0%","1.3%","0%","100%",0,2,0,0,"0.0%","18.2%","0%",316,-215,3,9.3,"26.1%",499,"33.2%","25.8%",0.52,0.07
"Kennen","Top",4,"5.3%","3.9%","9.2%","100%","50%",14,13,30,3.4,"71.0%","43.3%","50%",310,33,-1,8.8,"26.5%",608,"30.1%","23.4%",0.3,0.28
"Kha'Zix","Jungle",1,"1.3%","0.0%","1.3%","0%","100%",2,6,4,1,"100.0%","37.5%","0%",-161,-320,-12,5.2,"14.2%",330,"23.7%","18.0%",0.47,0.13
"Kindred","Jungle",19,"25.0%","11.8%","36.8%","58%","95%",66,36,105,4.8,"69.0%","19.4%","32%",54,-95,-2.6,6.4,"19.7%",375,"18.7%","20.4%",0.5,0.58
"LeBlanc","Middle",1,"1.3%","0.0%","1.3%","0%","0%",2,4,4,1.5,"60.0%","19.0%","0%",-228,-140,-8,7.8,"25.5%",323,"21.6%","25.3%",0.22,0.16
"Lee Sin","Jungle",10,"13.2%","3.9%","17.1%","40%","40%",26,27,62,3.3,"78.6%","20.1%","50%",-124,-185,-5.9,5.2,"14.5%",244,"13.6%","17.8%",0.61,0.38
"Leona","Support",24,"31.6%","23.7%","55.3%","71%","46%",21,81,189,2.6,"55.0%","27.5%","38%",67,145,0.4,1.2,"3.0%",130,"6.4%","8.6%",1.52,0.44
"Lillia","Jungle",25,"32.9%","17.1%","50.0%","48%","68%",72,78,165,3,"67.1%","20.6%","56%",147,177,2.8,6.5,"19.4%",408,"21.3%","19.7%",0.57,0.36
"Lucian","ADC",1,"1.3%","78.9%","93.4%","0%","0%",0,2,3,1.5,"50.0%","9.1%","0%",-942,-511,-7,10.2,"36.6%",366,"27.8%","26.9%",0.42,0.21
"Lucian","Middle",10,"13.2%","78.9%","93.4%","60%","0%",43,29,46,3.1,"61.8%","21.2%","50%",187,-91,-1.9,8.7,"27.0%",494,"23.2%","25.6%",0.37,0.32
"Lulu","Middle",1,"1.3%","9.2%","22.4%","0%","100%",2,3,1,1,"75.0%","21.4%","100%",162,494,-5,7.1,"13.2%",181,"14.3%","21.5%",0.26,0.26
"Lulu","Support",5,"6.6%","9.2%","22.4%","60%","20%",4,8,52,7,"82.4%","17.8%","20%",42,147,-2.2,0.8,"1.7%",93,"5.0%","8.6%",1.55,0.26
"Lulu","Top",4,"5.3%","9.2%","22.4%","50%","25%",4,10,18,2.2,"56.4%","20.8%","25%",239,410,8.3,6.7,"17.4%",329,"18.5%","19.2%",0.4,0.17
"Lux","Support",5,"6.6%","3.9%","10.5%","40%","40%",2,9,29,3.4,"75.6%","19.6%","40%",-48,-183,4,1.3,"3.2%",121,"7.9%","8.9%",1.8,0.46
"Malphite","Top",4,"5.3%","0.0%","5.3%","50%","100%",8,7,26,4.9,"66.7%","15.9%","0%",-650,-403,-26.3,7,"23.0%",356,"21.8%","20.6%",0.39,0.19
"Maokai","Top",1,"1.3%","0.0%","1.3%","100%","100%",1,3,8,3,"69.2%","42.9%","0%",-39,59,-5,8.2,"21.5%",553,"24.3%","17.7%",0.33,0.1
"Miss Fortune","ADC",5,"6.6%","0.0%","6.6%","60%","100%",18,11,32,4.5,"67.6%","12.8%","20%",76,-71,3.4,9.9,"31.8%",534,"25.8%","27.2%",0.37,0.45
"Mordekaiser","Top",2,"2.6%","3.9%","6.6%","0%","100%",8,7,5,1.9,"68.4%","21.2%","0%",-134,244,2,7.4,"23.1%",378,"25.6%","24.3%",0.36,0.07
"Morgana","-",0,"0%","1.3%","1.3%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Nautilus","Support",13,"17.1%","6.6%","23.7%","15%","77%",8,58,64,1.2,"61.0%","23.5%","15%",-40,-65,2,1.2,"3.5%",134,"8.9%","8.4%",1.47,0.36
"Nidalee","Jungle",20,"26.3%","63.2%","89.5%","55%","45%",65,42,115,4.3,"68.7%","16.7%","25%",-60,34,3.3,6.8,"19.8%",387,"20.6%","20.4%",0.91,0.56
"Nocturne","Middle",1,"1.3%","0.0%","1.3%","100%","100%",5,3,5,3.3,"66.7%","33.3%","0%",-875,-470,-18,8.3,"24.1%",331,"18.1%","24.1%",0.5,0.19
"Orianna","Middle",28,"36.8%","15.8%","52.6%","54%","39%",94,53,141,4.4,"63.7%","15.8%","11%",-181,-82,-0.8,9.1,"27.0%",438,"22.7%","24.9%",0.42,0.25
"Ornn","Top",29,"38.2%","52.6%","90.8%","48%","10%",37,66,173,3.2,"58.5%","19.3%","7%",-216,-122,-4.5,7.6,"21.7%",381,"20.4%","20.0%",0.44,0.16
"Pantheon","Support",17,"22.4%","27.6%","50.0%","59%","41%",44,59,94,2.3,"55.0%","30.7%","35%",161,-45,-0.3,1.8,"6.0%",280,"14.5%","11.0%",2.21,0.74
"Quinn","Top",1,"1.3%","0.0%","1.3%","0%","100%",2,4,6,2,"88.9%","26.7%","100%",495,-162,9,8.1,"22.6%",523,"27.2%","23.3%",0.53,0.28
"Rakan","Support",14,"18.4%","11.8%","30.3%","50%","14%",8,35,87,2.7,"62.5%","21.7%","29%",-43,53,1.4,1.3,"3.5%",120,"6.9%","8.4%",1.91,0.47
"Renekton","Top",22,"28.9%","39.5%","68.4%","36%","14%",55,82,99,1.9,"55.2%","23.6%","14%",74,17,5.1,8.1,"25.0%",377,"21.1%","23.3%",0.43,0.23
"Rengar","Jungle",1,"1.3%","0.0%","1.3%","100%","100%",2,1,10,12,"60.0%","8.3%","0%",-112,-373,-1,6.1,"17.0%",306,"13.1%","17.6%",0.66,0.72
"Ryze","Middle",1,"1.3%","0.0%","1.3%","0%","100%",1,4,4,1.3,"62.5%","18.2%","0%",-715,-516,-9,7.4,"27.4%",249,"20.1%","20.3%",0.42,0.04
"Senna","ADC",30,"39.5%","15.8%","56.6%","47%","33%",58,58,236,5.1,"75.2%","14.6%","23%",-114,-117,-0.8,7.9,"23.8%",447,"24.2%","22.3%",0.42,0.36
"Senna","Support",1,"1.3%","15.8%","56.6%","0%","0%",1,4,2,0.8,"75.0%","23.5%","0%",-247,-61,-6,1.1,"4.5%",360,"24.4%","11.8%",1.38,0.95
"Sett","Jungle",1,"1.3%","30.3%","52.6%","0%","100%",0,1,4,4,"57.1%","9.1%","0%",-426,-480,-9,5.8,"15.4%",131,"9.9%","15.8%",0.4,0.47
"Sett","Middle",3,"3.9%","30.3%","52.6%","100%","33%",9,1,22,31,"57.4%","5.3%","67%",383,-64,9.7,7.9,"20.5%",335,"14.5%","20.4%",0.36,0.25
"Sett","Support",9,"11.8%","30.3%","52.6%","44%","44%",17,45,68,1.9,"60.3%","28.5%","22%",85,-128,0.4,1.4,"4.2%",261,"12.4%","9.9%",1.6,0.6
"Sett","Top",4,"5.3%","30.3%","52.6%","50%","100%",13,12,18,2.6,"57.4%","28.6%","25%",358,530,13.3,7.6,"21.3%",493,"27.6%","23.0%",0.38,0.23
"Shen","Jungle",2,"2.6%","31.6%","42.1%","50%","100%",7,6,8,2.5,"60.0%","21.4%","50%",551,442,6.5,5.6,"14.4%",164,"9.5%","17.2%",1.09,0.63
"Shen","Top",6,"7.9%","31.6%","42.1%","67%","100%",12,18,45,3.2,"60.0%","25.7%","17%",288,255,8.2,7.2,"22.0%",344,"16.4%","18.9%",0.45,0.16
"Singed","Top",1,"1.3%","0.0%","1.3%","100%","100%",2,3,8,3.3,"66.7%","60.0%","0%",-279,-234,-13,7.8,"24.6%",341,"20.1%","20.9%",0.47,0.03
"Sion","Top",6,"7.9%","1.3%","9.2%","50%","100%",12,14,28,2.9,"40.8%","15.9%","17%",66,98,2,8.4,"24.5%",333,"17.4%","21.1%",0.46,0.11
"Swain","-",0,"0%","7.9%","7.9%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Sylas","Jungle",2,"2.6%","11.8%","26.3%","100%","50%",5,4,20,6.3,"61.0%","25.0%","50%",521,919,17,6.3,"16.1%",333,"16.1%","17.0%",0.28,0.4
"Sylas","Middle",8,"10.5%","11.8%","26.3%","50%","100%",29,18,43,4,"77.4%","15.9%","38%",-91,53,-0.1,8.3,"23.8%",499,"26.1%","23.3%",0.29,0.26
"Sylas","Top",1,"1.3%","11.8%","26.3%","100%","100%",5,0,6,11,"57.9%","0.0%","100%",413,47,6,8.4,"24.4%",353,"21.3%","21.7%",0.45,0.1
"Syndra","Middle",28,"36.8%","52.6%","89.5%","50%","32%",84,65,122,3.2,"57.2%","18.7%","11%",261,199,9.8,8.7,"25.6%",500,"26.2%","23.5%",0.44,0.19
"Tahm Kench","Support",15,"19.7%","18.4%","38.2%","53%","67%",17,55,127,2.6,"59.8%","24.6%","7%",-118,-177,-1.2,1,"2.1%",157,"7.2%","8.6%",1.89,0.28
"Taric","Support",3,"3.9%","0.0%","3.9%","33%","100%",0,5,13,2.6,"59.1%","16.1%","0%",11,-84,-6.3,1.1,"2.7%",46,"3.5%","7.7%",1.69,0.27
"Thresh","Support",10,"13.2%","18.4%","31.6%","40%","20%",4,26,64,2.6,"65.4%","21.1%","10%",-136,-83,0.5,1.3,"3.4%",107,"5.6%","8.4%",1.67,0.49
"Twisted Fate","Middle",16,"21.1%","60.5%","81.6%","56%","13%",52,39,120,4.4,"70.8%","18.1%","19%",277,97,1.1,8.3,"24.7%",490,"22.6%","24.6%",0.31,0.24
"Twitch","ADC",2,"2.6%","15.8%","18.4%","0%","50%",6,6,2,1.3,"80.0%","17.1%","0%",-1010,-668,-24,7.8,"29.8%",551,"36.7%","28.8%",0.35,0.3
"Urgot","Top",1,"1.3%","0.0%","1.3%","0%","0%",3,4,1,1,"66.7%","25.0%","0%",247,33,-9,7.3,"21.7%",243,"18.5%","23.6%",0.49,0.21
"Vayne","Middle",1,"1.3%","0.0%","1.3%","100%","100%",11,1,2,13,"56.5%","11.1%","100%",1210,624,17,7.9,"27.7%",404,"21.2%","25.6%",0.4,0.47
"Vel'Koz","Middle",2,"2.6%","0.0%","2.6%","0%","100%",3,6,2,0.8,"38.5%","16.2%","0%",61,210,-4,8.9,"26.3%",487,"28.7%","24.9%",0.55,0.21
"Vladimir","Top",3,"3.9%","3.9%","7.9%","67%","100%",5,6,3,1.3,"28.6%","20.7%","0%",-79,229,1.3,9.3,"28.0%",535,"25.0%","23.7%",0.37,0.22
