"Champion","Pos","GP","P%","B%","P+B%","W%","CTR%","K","D","A","KDA","KP","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","GOLD%","WPM","WCPM"
"Karma","Jungle",1,"1.6%","0.0%","1.6%","0%","-",3,7,3,0.9,"75.0%","21.9%","-","-","-","-","-","-","-","-","20.8%","-","-"
"Karthus","Middle",2,"3.2%","3.2%","7.9%","50%","-",10,9,12,2.4,"88.0%","36.0%","-","-","-","-","-","-","-","-","30.3%","-","-"
"Karthus","Top",1,"1.6%","3.2%","7.9%","0%","-",6,6,4,1.7,"71.4%","27.3%","-","-","-","-","-","-","-","-","27.4%","-","-"
"Kassadin","Middle",7,"11.1%","19.0%","30.2%","71%","-",53,15,52,7,"73.9%","17.9%","-","-","-","-","-","-","-","-","26.2%","-","-"
"Kayle","Middle",1,"1.6%","0.0%","1.6%","100%","-",7,10,13,2,"69.0%","24.4%","-","-","-","-","-","-","-","-","24.3%","-","-"
"Kennen","Middle",1,"1.6%","14.3%","23.8%","0%","-",0,6,1,0.2,"50.0%","23.1%","-","-","-","-","-","-","-","-","20.1%","-","-"
"Kennen","Top",5,"7.9%","14.3%","23.8%","40%","-",5,22,28,1.5,"55.0%","31.9%","-","-","-","-","-","-","-","-","19.0%","-","-"
"Kog'Maw","ADC",7,"11.1%","1.6%","12.7%","71%","-",28,10,40,6.8,"68.0%","14.5%","-","-","-","-","-","-","-","-","24.6%","-","-"
"Lee Sin","Jungle",25,"39.7%","22.2%","63.5%","64%","-",66,54,208,5.1,"64.3%","18.1%","-","-","-","-","-","-","-","-","14.3%","-","-"
"Lee Sin","Top",1,"1.6%","22.2%","63.5%","0%","-",2,2,0,1,"66.7%","9.5%","-","-","-","-","-","-","-","-","29.8%","-","-"
"Leona","Support",10,"15.9%","1.6%","17.5%","70%","-",11,32,105,3.6,"58.6%","27.4%","-","-","-","-","-","-","-","-","9.8%","-","-"
"Lissandra","Middle",4,"6.3%","6.3%","15.9%","25%","-",11,16,13,1.5,"55.8%","26.2%","-","-","-","-","-","-","-","-","25.5%","-","-"
"Lissandra","Top",2,"3.2%","6.3%","15.9%","100%","-",6,2,18,12,"58.5%","13.3%","-","-","-","-","-","-","-","-","22.9%","-","-"
"Lulu","Support",5,"7.9%","0.0%","7.9%","20%","-",0,18,17,0.9,"47.2%","20.7%","-","-","-","-","-","-","-","-","6.4%","-","-"
"Malphite","Top",3,"4.8%","0.0%","4.8%","0%","-",5,8,11,2,"69.6%","13.6%","-","-","-","-","-","-","-","-","22.3%","-","-"
"Miss Fortune","ADC",1,"1.6%","0.0%","1.6%","0%","-",1,3,2,1,"75.0%","14.3%","-","-","-","-","-","-","-","-","22.8%","-","-"
"Nami","Support",2,"3.2%","0.0%","3.2%","50%","-",0,4,21,5.3,"80.8%","16.0%","-","-","-","-","-","-","-","-","8.0%","-","-"
"Nasus","Jungle",1,"1.6%","0.0%","6.3%","0%","-",2,3,11,4.3,"92.9%","11.1%","-","-","-","-","-","-","-","-","20.5%","-","-"
"Nasus","Top",3,"4.8%","0.0%","6.3%","67%","-",4,11,11,1.4,"39.5%","25.6%","-","-","-","-","-","-","-","-","21.7%","-","-"
"Nidalee","ADC",1,"1.6%","0.0%","4.8%","100%","-",2,0,4,6,"42.9%","0.0%","-","-","-","-","-","-","-","-","21.7%","-","-"
"Nidalee","Middle",1,"1.6%","0.0%","4.8%","100%","-",5,0,3,8,"47.1%","0.0%","-","-","-","-","-","-","-","-","23.4%","-","-"
"Nidalee","Top",1,"1.6%","0.0%","4.8%","0%","-",0,5,1,0.2,"16.7%","35.7%","-","-","-","-","-","-","-","-","23.6%","-","-"
"Nocturne","Jungle",5,"7.9%","3.2%","11.1%","20%","-",9,15,22,2.1,"62.0%","16.7%","-","-","-","-","-","-","-","-","19.4%","-","-"
"Nunu & Willump","Jungle",3,"4.8%","0.0%","4.8%","33%","-",5,11,29,3.1,"82.9%","16.7%","-","-","-","-","-","-","-","-","16.7%","-","-"
"Orianna","Middle",21,"33.3%","31.7%","65.1%","57%","-",66,57,136,3.5,"72.1%","21.8%","-","-","-","-","-","-","-","-","27.8%","-","-"
"Renekton","Top",21,"33.3%","17.5%","50.8%","67%","-",52,41,116,4.1,"54.5%","15.1%","-","-","-","-","-","-","-","-","22.1%","-","-"
"Riven","Middle",2,"3.2%","0.0%","3.2%","100%","-",7,6,14,3.5,"53.8%","31.6%","-","-","-","-","-","-","-","-","21.7%","-","-"
"Rumble","Top",8,"12.7%","3.2%","15.9%","25%","-",20,40,69,2.2,"62.7%","21.4%","-","-","-","-","-","-","-","-","18.6%","-","-"
"Ryze","Middle",5,"7.9%","0.0%","7.9%","20%","-",17,22,19,1.6,"60.0%","21.4%","-","-","-","-","-","-","-","-","25.9%","-","-"
"Shen","Top",26,"41.3%","55.6%","96.8%","58%","-",75,59,263,5.7,"69.3%","16.3%","-","-","-","-","-","-","-","-","21.2%","-","-"
"Shyvana","Top",2,"3.2%","0.0%","3.2%","0%","-",1,9,3,0.4,"33.3%","22.0%","-","-","-","-","-","-","-","-","23.3%","-","-"
"Singed","Top",5,"7.9%","1.6%","9.5%","60%","-",8,10,36,4.4,"57.1%","14.7%","-","-","-","-","-","-","-","-","22.2%","-","-"
"Sivir","ADC",1,"1.6%","0.0%","1.6%","100%","-",7,2,19,13,"70.3%","16.7%","-","-","-","-","-","-","-","-","21.0%","-","-"
"Sona","Support",36,"57.1%","12.7%","69.8%","36%","-",30,155,289,2.1,"73.0%","24.0%","-","-","-","-","-","-","-","-","9.7%","-","-"
"Soraka","Middle",1,"1.6%","0.0%","1.6%","0%","-",0,8,8,1,"66.7%","21.6%","-","-","-","-","-","-","-","-","13.1%","-","-"
"Swain","Middle",1,"1.6%","0.0%","1.6%","0%","-",2,5,4,1.2,"60.0%","25.0%","-","-","-","-","-","-","-","-","28.4%","-","-"
"Syndra","Middle",2,"3.2%","0.0%","3.2%","50%","-",18,7,15,4.7,"67.3%","26.9%","-","-","-","-","-","-","-","-","30.8%","-","-"
"Teemo","ADC",1,"1.6%","0.0%","1.6%","0%","-",3,6,8,1.8,"68.8%","24.0%","-","-","-","-","-","-","-","-","17.9%","-","-"
"Thresh","Support",18,"28.6%","34.9%","63.5%","50%","-",24,67,158,2.7,"63.4%","25.9%","-","-","-","-","-","-","-","-","9.3%","-","-"
"Tristana","ADC",3,"4.8%","0.0%","4.8%","33%","-",10,7,8,2.6,"58.1%","11.9%","-","-","-","-","-","-","-","-","27.8%","-","-"
"Tryndamere","Top",1,"1.6%","0.0%","1.6%","100%","-",5,2,5,5,"40.0%","12.5%","-","-","-","-","-","-","-","-","22.7%","-","-"
"Twisted Fate","Middle",6,"9.5%","7.9%","17.5%","33%","-",12,19,29,2.2,"60.3%","20.2%","-","-","-","-","-","-","-","-","30.0%","-","-"
"Twitch","ADC",3,"4.8%","7.9%","12.7%","33%","-",15,9,18,3.7,"70.2%","19.1%","-","-","-","-","-","-","-","-","26.8%","-","-"
"Varus","ADC",15,"23.8%","0.0%","23.8%","40%","-",76,50,105,3.6,"73.9%","18.7%","-","-","-","-","-","-","-","-","26.4%","-","-"
"Vayne","ADC",16,"25.4%","9.5%","34.9%","50%","-",64,42,83,3.5,"61.0%","19.0%","-","-","-","-","-","-","-","-","25.3%","-","-"
"Veigar","Support",1,"1.6%","0.0%","1.6%","100%","-",1,1,4,5,"35.7%","14.3%","-","-","-","-","-","-","-","-","10.2%","-","-"
"Vi","Jungle",13,"20.6%","27.0%","47.6%","54%","-",32,36,84,3.2,"64.4%","23.4%","-","-","-","-","-","-","-","-","15.3%","-","-"
"Vladimir","Middle",1,"1.6%","0.0%","9.5%","100%","-",4,2,8,6,"80.0%","15.4%","-","-","-","-","-","-","-","-","28.2%","-","-"
"Vladimir","Top",5,"7.9%","0.0%","9.5%","20%","-",8,25,11,0.8,"38.0%","21.4%","-","-","-","-","-","-","-","-","22.4%","-","-"
"Volibear","Jungle",1,"1.6%","0.0%","1.6%","100%","-",8,3,14,7.3,"51.2%","23.1%","-","-","-","-","-","-","-","-","15.2%","-","-"
"Xin Zhao","Jungle",1,"1.6%","0.0%","1.6%","0%","-",1,6,1,0.3,"50.0%","28.6%","-","-","-","-","-","-","-","-","13.1%","-","-"
"Yorick","Jungle",1,"1.6%","1.6%","4.8%","100%","-",1,1,7,8,"57.1%","14.3%","-","-","-","-","-","-","-","-","16.4%","-","-"
"Yorick","Top",1,"1.6%","1.6%","4.8%","0%","-",1,3,2,1,"60.0%","23.1%","-","-","-","-","-","-","-","-","22.3%","-","-"
"Zac","Top",15,"23.8%","3.2%","27.0%","47%","-",31,33,93,3.8,"53.4%","18.5%","-","-","-","-","-","-","-","-","21.0%","-","-"
"Zed","Middle",9,"14.3%","82.5%","100.0%","56%","-",57,35,49,3,"64.6%","27.3%","-","-","-","-","-","-","-","-","26.0%","-","-"
"Zed","Top",2,"3.2%","82.5%","100.0%","50%","-",6,7,10,2.3,"57.1%","25.9%","-","-","-","-","-","-","-","-","24.4%","-","-"
"Ziggs","-",0,"0%","1.6%","1.6%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Zilean","Top",1,"1.6%","0.0%","1.6%","0%","-",5,7,4,1.3,"75.0%","18.9%","-","-","-","-","-","-","-","-","21.9%","-","-"
"Zyra","Support",42,"66.7%","9.5%","76.2%","55%","-",55,120,313,3.1,"59.4%","22.7%","-","-","-","-","-","-","-","-","9.9%","-","-"
