"Champion","Pos","GP","P%","B%","P+B%","W%","CTR%","K","D","A","KDA","KP","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","GOLD%","WPM","WCPM"
"Aatrox","Jungle",15,"23.8%","25.4%","57.1%","53%","-",35,37,104,3.8,"60.2%","20.7%","-","-","-","-","-","-","-","-","15.7%","-","-"
"Aatrox","Top",5,"7.9%","25.4%","57.1%","80%","-",12,12,14,2.2,"36.6%","23.5%","-","-","-","-","-","-","-","-","22.9%","-","-"
"Ahri","Middle",26,"41.3%","41.3%","82.5%","46%","-",115,78,133,3.2,"64.6%","19.7%","-","-","-","-","-","-","-","-","26.3%","-","-"
"Annie","Support",5,"7.9%","11.1%","19.0%","60%","-",8,28,45,1.9,"60.9%","25.9%","-","-","-","-","-","-","-","-","10.6%","-","-"
"Ashe","ADC",6,"9.5%","1.6%","11.1%","50%","-",22,17,48,4.1,"66.7%","25.0%","-","-","-","-","-","-","-","-","23.5%","-","-"
"Blitzcrank","Support",1,"1.6%","0.0%","1.6%","100%","-",4,2,12,8,"43.2%","16.7%","-","-","-","-","-","-","-","-","12.1%","-","-"
"Caitlyn","ADC",20,"31.7%","19.0%","50.8%","60%","-",96,38,106,5.3,"65.0%","14.3%","-","-","-","-","-","-","-","-","28.2%","-","-"
"Cassiopeia","Middle",1,"1.6%","0.0%","1.6%","100%","-",6,0,3,9,"64.3%","0.0%","-","-","-","-","-","-","-","-","26.7%","-","-"
"Corki","ADC",33,"52.4%","41.3%","93.7%","48%","-",151,84,167,3.8,"71.9%","17.5%","-","-","-","-","-","-","-","-","27.4%","-","-"
"Diana","Middle",2,"3.2%","0.0%","4.8%","50%","-",7,6,9,2.7,"61.5%","19.4%","-","-","-","-","-","-","-","-","27.7%","-","-"
"Diana","Top",1,"1.6%","0.0%","4.8%","0%","-",3,4,5,2,"66.7%","19.0%","-","-","-","-","-","-","-","-","26.1%","-","-"
"Dr. Mundo","Top",1,"1.6%","0.0%","1.6%","0%","-",1,7,1,0.3,"25.0%","21.9%","-","-","-","-","-","-","-","-","14.9%","-","-"
"Elise","Jungle",33,"52.4%","17.5%","76.2%","45%","-",78,101,221,3,"67.3%","18.2%","-","-","-","-","-","-","-","-","15.4%","-","-"
"Elise","Top",4,"6.3%","17.5%","76.2%","25%","-",4,8,15,2.4,"50.0%","14.0%","-","-","-","-","-","-","-","-","19.6%","-","-"
"Evelynn","Jungle",4,"6.3%","11.1%","17.5%","75%","-",23,13,42,5,"75.6%","28.9%","-","-","-","-","-","-","-","-","17.8%","-","-"
"Ezreal","ADC",18,"28.6%","0.0%","34.9%","50%","-",108,47,91,4.2,"75.4%","15.8%","-","-","-","-","-","-","-","-","28.1%","-","-"
"Ezreal","Middle",4,"6.3%","0.0%","34.9%","50%","-",8,7,25,4.7,"73.3%","12.3%","-","-","-","-","-","-","-","-","29.2%","-","-"
"Fiddlesticks","Support",6,"9.5%","3.2%","12.7%","67%","-",8,24,69,3.2,"62.6%","28.9%","-","-","-","-","-","-","-","-","10.2%","-","-"
"Fizz","Middle",12,"19.0%","34.9%","54.0%","50%","-",75,44,61,3.1,"60.2%","24.7%","-","-","-","-","-","-","-","-","25.7%","-","-"
"Gragas","Middle",16,"25.4%","3.2%","28.6%","44%","-",43,28,59,3.6,"54.3%","11.5%","-","-","-","-","-","-","-","-","27.4%","-","-"
"Hecarim","Jungle",1,"1.6%","0.0%","1.6%","0%","-",8,2,7,7.5,"93.8%","8.0%","-","-","-","-","-","-","-","-","25.0%","-","-"
"Jarvan IV","ADC",1,"1.6%","1.6%","41.3%","0%","-",2,7,2,0.6,"50.0%","21.9%","-","-","-","-","-","-","-","-","22.8%","-","-"
"Jarvan IV","Jungle",22,"34.9%","1.6%","41.3%","45%","-",37,73,204,3.3,"78.2%","20.3%","-","-","-","-","-","-","-","-","14.1%","-","-"
"Jarvan IV","Top",2,"3.2%","1.6%","41.3%","50%","-",3,5,15,3.6,"78.3%","18.5%","-","-","-","-","-","-","-","-","18.1%","-","-"
"Jax","Top",10,"15.9%","6.3%","22.2%","70%","-",39,26,41,3.1,"53.7%","21.1%","-","-","-","-","-","-","-","-","23.0%","-","-"
"Jayce","Middle",1,"1.6%","0.0%","1.6%","100%","-",6,2,11,8.5,"63.0%","14.3%","-","-","-","-","-","-","-","-","24.8%","-","-"
