"Champion","Pos","GP","P%","B%","P+B%","W%","CTR%","K","D","A","KDA","KP","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","GOLD%","WPM","WCPM"
"Alistar","Support",2,"2.5%","2.5%","5.0%","0%","0%",0,5,6,1.2,"54.5%","20.0%","0%",-201,-211,-16.5,0.9,"3.2%",120,"6.7%","10.6%",1.5,0.23
"Ashe","ADC",1,"1.3%","0.0%","1.3%","100%","-",5,0,3,8,"53.3%","0.0%","0%",180,-65,15,9.6,"24.7%",532,"21.3%","23.5%",0.44,0.25
"Aurelion Sol","Middle",1,"1.3%","0.0%","1.3%","0%","100%",3,4,7,2.5,"90.9%","28.6%","100%",500,648,1,9.5,"30.4%",837,"24.4%","24.1%",0.3,0.2
"Bard","-",0,"0%","1.3%","1.3%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Blitzcrank","Support",3,"3.8%","3.8%","7.5%","33%","100%",2,9,17,2.1,"73.1%","22.0%","33%",26,13,-0.3,1,"2.9%",167,"9.3%","11.6%",1.59,0.33
"Braum","Support",1,"1.3%","1.3%","2.5%","100%","100%",0,1,13,13,"81.3%","16.7%","0%",-9,181,5,1.7,"5.0%",126,"5.2%","11.5%",1.36,0.48
"Caitlyn","ADC",9,"11.3%","12.5%","23.8%","67%","25%",30,9,42,8,"69.2%","18.4%","33%",332,249,12.9,9.9,"33.8%",854,"37.3%","24.7%",0.38,0.29
"Camille","Top",3,"3.8%","0.0%","3.8%","33%","-",7,5,3,2,"40.0%","16.7%","0%",149,323,6.7,9,"30.8%",336,"21.1%","23.8%",0.53,0.1
"Cassiopeia","Middle",9,"11.3%","25.0%","36.3%","44%","-",17,15,39,3.7,"82.4%","17.9%","22%",-14,135,2.3,9,"27.9%",423,"28.5%","23.2%",0.5,0.16
"Cho'Gath","Jungle",1,"1.3%","26.3%","77.5%","0%","-",1,3,1,0.7,"100.0%","17.6%","0%",-120,1128,30,4.7,"12.1%",197,"17.7%","22.3%",0.33,0.29
"Cho'Gath","Top",40,"50.0%","26.3%","77.5%","53%","22%",83,87,169,2.9,"66.7%","24.0%","15%",-96,-20,-2.1,7.7,"23.5%",371,"19.9%","19.8%",0.54,0.12
