"Champion","Pos","GP","P%","B%","P+B%","W%","CTR%","K","D","A","KDA","KP","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","GOLD%","WPM","WCPM"
"Ahri","Middle",3,"4.1%","0.0%","4.1%","33%","-",9,3,24,11,"86.8%","9.7%","0%",-377,-415,-12.3,9.1,"31.3%",482,"30.8%","25.9%",0.21,0.24
"Alistar","Support",30,"41.1%","4.1%","45.2%","50%","-",9,82,290,3.6,"80.2%","19.9%","33%",45,102,1.9,1.1,"4.1%",96,"5.3%","10.0%",1.31,0.27
"Anivia","Middle",6,"8.2%","0.0%","8.2%","67%","-",9,16,24,2.1,"55.0%","23.9%","17%",-112,-9,-2.5,9.3,"33.2%",495,"28.5%","25.3%",0.59,0.12
"Annie","Support",9,"12.3%","1.4%","13.7%","44%","-",11,27,72,3.1,"75.5%","21.4%","67%",28,61,-7,0.5,"2.5%",186,"11.4%","10.7%",1.28,0.31
"Ashe","ADC",9,"12.3%","5.5%","17.8%","56%","-",27,14,58,6.1,"65.4%","15.6%","11%",-48,-63,-0.1,8.6,"28.1%",496,"28.2%","24.9%",0.11,0.21
"Azir","Middle",14,"19.2%","38.4%","57.5%","71%","-",49,37,90,3.8,"71.6%","20.4%","7%",-84,52,1.6,8.9,"29.9%",597,"33.6%","24.4%",0.38,0.18
"Bard","Support",2,"2.7%","0.0%","2.7%","0%","-",3,10,14,1.7,"60.7%","22.7%","0%",-297,-81,-6.5,0.9,"4.2%",166,"10.0%","10.8%",1.23,0.44
"Blitzcrank","Support",1,"1.4%","0.0%","1.4%","0%","-",1,5,2,0.6,"75.0%","21.7%","0%",-270,-285,1,0.5,"0.6%",133,"14.9%","10.0%",1.09,0.17
"Brand","Support",1,"1.4%","0.0%","1.4%","0%","-",1,6,10,1.8,"78.6%","22.2%","0%",-379,-530,-12,0.8,"5.2%",477,"21.1%","12.2%",1.31,0.26
"Braum","Support",21,"28.8%","4.1%","32.9%","38%","-",10,61,170,3,"78.6%","21.9%","10%",-125,-142,1.7,1.2,"4.3%",157,"10.1%","9.8%",1.22,0.33
"Caitlyn","ADC",5,"6.8%","0.0%","6.8%","60%","-",12,8,18,3.8,"57.7%","16.7%","0%",-48,-120,-0.2,8.7,"29.9%",552,"30.9%","26.1%",0.1,0.2
"Cassiopeia","Middle",1,"1.4%","0.0%","1.4%","0%","-",1,1,4,5,"50.0%","7.7%","100%",-139,-522,-1,8.6,"28.8%",421,"24.9%","23.2%",0.71,0.13
"Darius","Top",38,"52.1%","20.5%","72.6%","50%","-",137,127,143,2.2,"56.9%","25.0%","32%",107,-18,1.9,6.8,"25.3%",317,"18.6%","21.5%",0.63,0.06
"Diana","Middle",4,"5.5%","2.7%","8.2%","50%","-",15,15,23,2.5,"58.5%","24.2%","50%",-105,-71,-7.5,8.5,"27.9%",405,"22.2%","24.3%",0.5,0.09
"Draven","ADC",1,"1.4%","0.0%","1.4%","100%","-",5,1,7,12,"57.1%","8.3%","100%",-206,62,-3,7.2,"27.1%",555,"27.3%","24.4%",0.06,0.09
"Ekko","Jungle",1,"1.4%","0.0%","12.3%","0%","-",1,3,6,2.3,"87.5%","11.1%","0%",363,767,10,3.2,"16.4%",282,"17.6%","19.7%",0.97,0.29
"Ekko","Middle",5,"6.8%","0.0%","12.3%","20%","-",14,17,27,2.4,"59.4%","22.1%","20%",-343,-32,-9.6,8.1,"29.0%",449,"23.4%","23.7%",0.55,0.11
"Ekko","Top",3,"4.1%","0.0%","12.3%","67%","-",13,11,29,3.8,"76.4%","18.3%","33%",413,420,9.3,7.8,"24.6%",489,"23.0%","22.8%",0.66,0.06
"Elise","Jungle",39,"53.4%","43.8%","97.3%","67%","-",96,92,250,3.8,"62.1%","20.2%","46%",60,-136,-1.9,3,"9.8%",249,"13.5%","16.8%",0.91,0.35
"Evelynn","Jungle",4,"5.5%","0.0%","5.5%","25%","-",5,16,20,1.6,"62.5%","25.0%","25%",131,118,4,2.7,"8.6%",266,"18.1%","15.1%",0.93,0.25
"Fiora","Top",19,"26.0%","5.5%","31.5%","58%","-",69,56,77,2.6,"61.3%","23.7%","37%",28,175,0.5,8.2,"29.4%",471,"24.8%","24.3%",0.61,0.07
"Fizz","Middle",4,"5.5%","6.8%","12.3%","50%","-",16,8,15,3.9,"59.6%","16.0%","25%",-7,114,-6.3,7.4,"26.5%",340,"22.5%","23.3%",0.32,0.12
"Gangplank","Middle",2,"2.7%","94.5%","100.0%","100%","-",7,0,13,20,"69.0%","0.0%","50%",435,-207,-9,8.2,"32.9%",702,"33.5%","25.9%",0.53,0.18
"Gangplank","Top",2,"2.7%","94.5%","100.0%","100%","-",7,5,12,3.8,"63.3%","35.7%","0%",68,-206,0.5,7.3,"27.9%",439,"23.7%","23.9%",0.46,0.01
"Gnar","Top",19,"26.0%","2.7%","28.8%","42%","-",50,62,126,2.8,"65.7%","23.7%","21%",-11,160,1.7,6.6,"22.8%",412,"22.1%","20.8%",0.6,0.07
"Gragas","Jungle",29,"39.7%","5.5%","45.2%","45%","-",37,88,202,2.7,"64.9%","22.2%","24%",-87,155,2.2,3,"9.7%",213,"12.6%","15.5%",0.91,0.32
"Graves","ADC",1,"1.4%","0.0%","1.4%","100%","-",9,2,6,7.5,"68.2%","28.6%","0%",-467,-474,-9,9,"32.6%",652,"37.2%","25.6%",0.1,0.28
"Hecarim","Jungle",1,"1.4%","0.0%","6.8%","0%","-",0,3,6,2,"100.0%","21.4%","100%",408,235,6,3.4,"10.5%",234,"17.6%","17.7%",0.12,0.49
"Hecarim","Top",4,"5.5%","0.0%","6.8%","50%","-",17,9,26,4.8,"79.6%","16.4%","50%",350,237,9.5,8.2,"28.4%",496,"25.9%","24.3%",0.55,0.07
"Irelia","Middle",1,"1.4%","0.0%","2.7%","0%","-",2,7,2,0.6,"57.1%","31.8%","0%",-2276,-1948,-51,5.7,"28.2%",373,"27.2%","22.6%",0.43,0
"Irelia","Top",1,"1.4%","0.0%","2.7%","0%","-",3,2,1,2,"66.7%","13.3%","100%",70,-399,-8,7.3,"26.6%",189,"13.9%","24.4%",0.52,0.07
"Janna","Support",3,"4.1%","0.0%","4.1%","67%","-",0,6,40,6.7,"81.6%","18.2%","67%",83,91,-0.3,0.4,"1.8%",50,"3.1%","10.2%",1.4,0.36
"Jarvan IV","Jungle",4,"5.5%","0.0%","6.8%","75%","-",6,11,40,4.2,"74.2%","23.4%","50%",-192,-248,-10,2.6,"8.5%",181,"9.6%","15.1%",0.94,0.33
"Jarvan IV","Top",1,"1.4%","0.0%","6.8%","100%","-",5,6,11,2.7,"76.2%","37.5%","100%",-279,-918,-4,7,"22.5%",613,"28.4%","20.6%",0.7,0.08
"Jayce","ADC",1,"1.4%","0.0%","1.4%","0%","-",1,2,7,4,"50.0%","9.5%","0%",-117,181,-7,9.3,"31.9%",755,"36.5%","23.6%",0.31,0.18
"Jinx","ADC",29,"39.7%","5.5%","45.2%","52%","-",147,68,151,4.4,"73.0%","17.8%","24%",-42,-24,-3.8,8.8,"32.7%",626,"33.7%","27.4%",0.14,0.23
"Kalista","ADC",29,"39.7%","34.2%","74.0%","48%","-",126,65,142,4.1,"74.7%","17.2%","17%",-5,62,6.2,8.4,"29.4%",469,"27.6%","25.8%",0.17,0.18
"Karthus","Middle",1,"1.4%","0.0%","1.4%","100%","-",4,3,10,4.7,"73.7%","37.5%","100%",3,169,17,9.2,"28.8%",598,"35.6%","24.5%",0.2,0.37
"Kassadin","Middle",7,"9.6%","0.0%","9.6%","71%","-",37,13,56,7.2,"74.4%","16.0%","43%",-138,-29,-5.1,7.5,"25.9%",591,"28.4%","23.3%",0.59,0.17
"Kennen","ADC",5,"6.8%","6.8%","28.8%","60%","-",19,13,30,3.8,"52.7%","17.1%","0%",319,-63,6.8,9.3,"31.3%",421,"21.5%","24.0%",0.15,0.2
"Kennen","Support",6,"8.2%","6.8%","28.8%","50%","-",9,25,52,2.4,"70.1%","27.2%","0%",74,189,-3.3,0.7,"3.3%",199,"12.4%","10.4%",1.44,0.36
"Kennen","Top",5,"6.8%","6.8%","28.8%","40%","-",16,21,25,2,"48.8%","27.6%","20%",-92,59,4.6,6.7,"23.3%",467,"26.0%","19.8%",0.69,0.07
"Kog'Maw","ADC",7,"9.6%","1.4%","11.0%","43%","-",42,18,38,4.4,"81.6%","21.2%","14%",57,-2,-1.7,8.6,"29.8%",646,"36.7%","26.9%",0.13,0.24
"LeBlanc","Middle",11,"15.1%","8.2%","23.3%","55%","-",56,16,54,6.9,"65.5%","11.0%","9%",201,249,11.1,8.2,"26.9%",590,"29.0%","24.1%",0.28,0.21
"Lee Sin","Jungle",18,"24.7%","13.7%","38.4%","50%","-",45,50,144,3.8,"75.3%","19.8%","22%",-38,-122,-3.2,2.8,"9.6%",251,"14.3%","16.6%",0.96,0.28
"Leona","Support",1,"1.4%","0.0%","1.4%","100%","-",0,3,7,2.3,"43.8%","60.0%","0%",-47,82,8,2.4,"10.3%",180,"9.5%","11.8%",1.09,0.12
"Lissandra","Middle",3,"4.1%","0.0%","5.5%","67%","-",11,10,34,4.5,"71.4%","21.3%","67%",144,377,4.7,8.4,"28.9%",467,"23.9%","23.2%",0.53,0.1
"Lissandra","Top",1,"1.4%","0.0%","5.5%","0%","-",0,5,5,1,"100.0%","31.3%","0%",-1292,-1392,-20,7.1,"35.2%",271,"20.2%","23.2%",0.44,0.04
"Lucian","ADC",1,"1.4%","0.0%","1.4%","100%","-",7,4,11,4.5,"81.8%","26.7%","100%",723,-85,23,8,"25.8%",794,"31.4%","23.5%",0.25,0.19
"Lulu","Middle",18,"24.7%","58.9%","94.5%","44%","-",42,33,121,4.9,"74.8%","13.9%","17%",71,101,4.9,8.2,"27.7%",400,"23.0%","24.0%",0.48,0.14
"Lulu","Top",8,"11.0%","58.9%","94.5%","63%","-",9,18,65,4.1,"73.3%","16.8%","13%",-164,-110,-2.9,6.1,"20.1%",240,"12.8%","18.5%",0.52,0.12
"Malphite","Top",10,"13.7%","5.5%","19.2%","30%","-",18,18,52,3.9,"57.9%","13.7%","10%",-368,-361,-16.8,6.3,"23.7%",286,"17.8%","19.3%",0.64,0.09
"Maokai","Top",3,"4.1%","0.0%","4.1%","0%","-",2,10,7,0.9,"69.2%","20.4%","33%",-544,-639,-6.7,5.2,"22.0%",218,"18.6%","18.1%",0.48,0.08
"Mordekaiser","ADC",4,"5.5%","93.2%","98.6%","100%","-",26,4,45,17.8,"84.5%","11.4%","75%",492,1058,4.8,7.4,"25.2%",598,"28.0%","23.9%",0.21,0.17
"Morgana","Middle",1,"1.4%","2.7%","27.4%","0%","-",2,4,4,1.5,"50.0%","19.0%","0%",-431,-782,-2,8.7,"30.0%",611,"40.2%","23.2%",0.12,0.21
"Morgana","Support",17,"23.3%","2.7%","27.4%","47%","-",4,45,151,3.4,"73.8%","21.1%","41%",-89,-334,-3.6,0.6,"2.3%",153,"8.5%","10.8%",1.25,0.34
"Nautilus","Support",1,"1.4%","0.0%","1.4%","0%","-",0,6,9,1.5,"50.0%","24.0%","0%",219,523,2,1.7,"5.5%",202,"9.2%","8.8%",1.38,0.25
"Nidalee","Jungle",3,"4.1%","4.1%","8.2%","100%","-",12,6,28,6.7,"63.5%","18.2%","33%",517,400,11.7,4.3,"14.4%",340,"16.3%","20.3%",0.62,0.5
