"Champion","Pos","GP","P%","B%","P+B%","W%","CTR%","K","D","A","KDA","KP","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","GOLD%","WPM","WCPM"
"Nunu & Willump","Jungle",1,"1.4%","0.0%","1.4%","0%","-",1,5,11,2.4,"85.7%","18.5%","0%",-222,-38,6,2.6,"8.7%",153,"6.8%","16.1%",0.89,0.31
"Olaf","Jungle",1,"1.4%","2.7%","16.4%","0%","-",4,6,8,2,"70.6%","25.0%","100%",258,132,4,3,"10.7%",282,"12.7%","16.8%",0.98,0.22
"Olaf","Middle",1,"1.4%","2.7%","16.4%","100%","-",8,2,8,8,"72.7%","28.6%","100%",2276,1948,51,8.6,"31.2%",663,"29.9%","25.3%",0.18,0.07
"Olaf","Top",8,"11.0%","2.7%","16.4%","38%","-",31,18,30,3.4,"63.5%","17.1%","13%",-120,-138,-1.4,7,"27.2%",339,"22.5%","22.0%",0.62,0.05
"Orianna","Middle",12,"16.4%","0.0%","16.4%","25%","-",31,37,54,2.3,"69.7%","19.6%","33%",-87,-10,1.6,9.3,"31.8%",457,"28.0%","26.5%",0.32,0.17
"Rek'Sai","Jungle",37,"50.7%","26.0%","76.7%","41%","-",50,94,279,3.5,"72.6%","19.1%","43%",-28,91,1.5,3.3,"11.5%",250,"14.9%","17.7%",1.08,0.41
"Renekton","Top",6,"8.2%","5.5%","13.7%","67%","-",22,11,25,4.3,"55.3%","21.6%","17%",88,32,4,8.9,"30.6%",373,"20.3%","23.9%",0.67,0.16
"Rengar","Jungle",2,"2.7%","0.0%","2.7%","0%","-",4,6,8,2,"70.6%","19.4%","50%",197,-197,-1,3.1,"10.1%",179,"13.1%","18.6%",0.63,0.25
"Riven","Top",10,"13.7%","0.0%","13.7%","50%","-",34,36,41,2.1,"59.5%","24.5%","40%",109,105,5.9,8.2,"29.4%",354,"18.0%","23.6%",0.58,0.07
"Rumble","Top",5,"6.8%","1.4%","8.2%","80%","-",29,15,29,3.9,"59.8%","24.2%","20%",12,23,-11,7.9,"29.2%",549,"24.9%","23.2%",0.72,0.05
"Ryze","Middle",6,"8.2%","2.7%","11.0%","83%","-",29,8,31,7.5,"65.2%","20.5%","33%",112,147,8,8.4,"25.7%",529,"27.9%","23.2%",0.32,0.11
"Shen","Support",11,"15.1%","4.1%","20.5%","82%","-",9,33,123,4,"68.0%","27.3%","27%",255,90,0.8,1.4,"5.0%",101,"5.0%","10.8%",1.54,0.35
"Shen","Top",1,"1.4%","4.1%","20.5%","100%","-",2,0,10,12,"92.3%","0.0%","0%",451,804,12,6.6,"25.2%",263,"15.6%","21.2%",0.81,0.02
"Sivir","ADC",19,"26.0%","0.0%","26.0%","47%","-",64,45,123,4.2,"77.9%","16.5%","16%",14,-54,0.6,9.1,"32.4%",536,"29.6%","27.5%",0.19,0.19
"Skarner","Jungle",3,"4.1%","0.0%","4.1%","33%","-",2,5,14,3.2,"69.6%","15.6%","33%",232,47,4,3,"8.2%",120,"7.5%","15.8%",0.9,0.31
"Syndra","Middle",1,"1.4%","0.0%","1.4%","0%","-",2,1,3,5,"83.3%","11.1%","100%",424,-354,-4,9.2,"32.6%",296,"29.6%","28.8%",0.41,0.13
"Tahm Kench","Support",14,"19.2%","27.4%","46.6%","71%","-",11,34,137,4.4,"63.8%","23.8%","14%",52,144,2.7,1.1,"4.1%",164,"8.2%","10.0%",1.33,0.25
"Thresh","Support",29,"39.7%","8.2%","47.9%","45%","-",22,88,239,3,"70.0%","22.2%","28%",-22,34,0.7,1,"3.6%",121,"7.3%","9.3%",1.26,0.31
"Tristana","ADC",27,"37.0%","0.0%","37.0%","41%","-",89,58,113,3.5,"71.1%","14.6%","15%",-30,-111,-4.9,8.5,"31.4%",467,"27.2%","27.1%",0.16,0.24
"Twisted Fate","Middle",12,"16.4%","21.9%","38.4%","58%","-",46,31,83,4.2,"75.9%","18.2%","8%",255,16,-6.8,8.4,"30.5%",513,"29.4%","27.7%",0.46,0.12
"Twitch","ADC",1,"1.4%","0.0%","1.4%","0%","-",4,4,2,1.5,"50.0%","21.1%","0%",-319,328,-7,6.4,"21.5%",478,"33.5%","21.3%",0.18,0.09
"Varus","ADC",1,"1.4%","5.5%","8.2%","100%","-",3,4,11,3.5,"93.3%","57.1%","100%",-355,130,-1,7.6,"23.8%",830,"31.2%","21.8%",0.16,0.13
"Varus","Middle",1,"1.4%","5.5%","8.2%","0%","-",1,6,1,0.3,"50.0%","27.3%","0%",-420,-141,-3,8.8,"28.7%",590,"39.1%","25.5%",0.55,0.06
"Vayne","ADC",6,"8.2%","1.4%","9.6%","33%","-",26,17,23,2.9,"60.5%","17.7%","17%",-107,5,2.3,7.5,"25.9%",456,"24.1%","24.9%",0.14,0.15
"Veigar","Middle",8,"11.0%","13.7%","24.7%","38%","-",31,24,43,3.1,"78.7%","20.5%","25%",-81,-242,-6.9,8.2,"31.2%",466,"26.1%","25.5%",0.49,0.14
"Vi","Jungle",1,"1.4%","0.0%","1.4%","0%","-",0,6,1,0.2,"10.0%","37.5%","0%",-256,-827,-9,2.9,"10.0%",69,"4.8%","13.4%",0.92,0.53
"Viktor","Middle",17,"23.3%","1.4%","24.7%","47%","-",64,31,70,4.3,"62.0%","14.7%","35%",87,40,2.8,9.3,"32.2%",593,"33.6%","26.4%",0.45,0.18
"Vladimir","Top",1,"1.4%","0.0%","1.4%","100%","-",0,3,8,2.7,"50.0%","30.0%","0%",375,772,28,7.3,"25.3%",417,"19.8%","20.0%",0.64,0.09
"Yasuo","Middle",5,"6.8%","8.2%","16.4%","40%","-",15,20,30,2.3,"77.6%","23.5%","0%",-84,-324,0.4,8.8,"32.9%",427,"24.9%","27.6%",0.44,0.12
"Yasuo","Top",1,"1.4%","8.2%","16.4%","0%","-",5,4,9,3.5,"87.5%","30.8%","0%",-136,-480,-19,7.2,"27.9%",277,"21.7%","23.3%",0.71,0.05
"Zac","Jungle",2,"2.7%","0.0%","2.7%","100%","-",0,4,31,7.8,"64.6%","15.4%","0%",-536,-523,-10.5,2.2,"7.2%",179,"7.2%","12.5%",1.05,0.2
"Zed","Middle",2,"2.7%","0.0%","2.7%","0%","-",7,6,7,2.3,"58.3%","15.8%","0%",-616,-483,-12.5,7.2,"30.6%",439,"31.8%","26.2%",0.45,0.09
