"Champion","Pos","GP","P%","B%","P+B%","W%","CTR%","K","D","A","KDA","KP","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","GOLD%","WPM","WCPM"
"Aatrox","Middle",6,"7.8%","58.4%","98.7%","67%","0%",21,16,33,3.4,"65.9%","30.8%","17%",-127,127,-7.2,8.6,"26.1%",497,"25.1%","22.4%",0.37,0.26
"Aatrox","Top",25,"32.5%","58.4%","98.7%","52%","36%",44,61,104,2.4,"48.4%","21.6%","12%",-104,-106,-2.9,9.1,"27.1%",356,"21.1%","22.4%",0.47,0.15
"Ahri","Middle",1,"1.3%","0.0%","1.3%","100%","100%",3,3,7,3.3,"71.4%","27.3%","0%",-470,-9,-2,9,"28.2%",391,"23.3%","21.9%",0.27,0.13
"Akali","Middle",6,"7.8%","66.2%","80.5%","83%","0%",42,16,39,5.1,"65.9%","20.5%","33%",-202,-102,-3,8.4,"26.0%",516,"23.5%","23.5%",0.51,0.22
"Akali","Top",5,"6.5%","66.2%","80.5%","60%","20%",8,9,11,2.1,"46.3%","27.3%","20%",137,109,6.8,9,"24.7%",367,"20.9%","21.5%",0.51,0.17
"Alistar","Support",28,"36.4%","61.0%","97.4%","54%","7%",14,61,177,3.1,"65.0%","21.7%","25%",-59,87,2.8,1.5,"4.8%",113,"7.1%","9.1%",1.59,0.22
"Ashe","ADC",1,"1.3%","0.0%","1.3%","0%","100%",2,2,8,5,"55.6%","13.3%","0%",-287,-67,-13,10,"32.1%",397,"23.1%","26.1%",0.52,0.34
"Azir","Middle",6,"7.8%","1.3%","9.1%","50%","83%",17,9,28,5,"73.8%","12.0%","0%",15,61,3.2,10,"29.8%",505,"29.0%","26.4%",0.45,0.28
"Bard","Support",1,"1.3%","0.0%","1.3%","0%","100%",1,2,2,1.5,"75.0%","14.3%","0%",-159,236,-9,0.8,"3.2%",208,"15.7%","10.0%",1.92,0.49
"Brand","ADC",1,"1.3%","0.0%","1.3%","0%","100%",5,5,7,2.4,"66.7%","17.9%","0%",-80,-228,-5,8.6,"25.0%",876,"37.6%","23.8%",0.25,0.37
"Braum","Support",24,"31.2%","7.8%","39.0%","54%","75%",9,49,181,3.9,"71.7%","20.6%","25%",36,-37,4.6,1.9,"5.8%",146,"8.8%","10.1%",1.5,0.25
"Camille","Jungle",11,"14.3%","32.5%","54.5%","55%","36%",32,32,66,3.1,"66.2%","24.1%","45%",-397,-457,-5.5,5.2,"14.2%",234,"11.9%","18.2%",0.36,0.38
"Camille","Top",6,"7.8%","32.5%","54.5%","33%","50%",9,17,7,0.9,"57.1%","31.5%","33%",112,-135,2.2,9.7,"29.1%",383,"30.0%","25.9%",0.47,0.17
"Cassiopeia","Middle",3,"3.9%","0.0%","3.9%","0%","67%",5,5,1,1.2,"60.0%","14.7%","33%",77,-35,3.7,10.2,"29.9%",307,"30.0%","26.8%",0.5,0.27
"Cho'Gath","Top",3,"3.9%","0.0%","3.9%","33%","100%",6,7,9,2.1,"55.6%","25.9%","0%",-82,-142,-6,7.5,"20.6%",345,"22.7%","20.1%",0.6,0.16
"Darius","-",0,"0%","2.6%","2.6%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Draven","ADC",2,"2.6%","7.8%","10.4%","50%","100%",9,3,11,6.7,"95.2%","11.1%","0%",128,245,16,9.8,"31.6%",486,"30.8%","31.8%",0.32,0.63
"Ekko","Middle",2,"2.6%","1.3%","6.5%","50%","100%",11,7,8,2.7,"82.6%","20.0%","0%",-281,-60,2,9.7,"29.7%",502,"30.5%","28.0%",0.46,0.14
"Ekko","Top",2,"2.6%","1.3%","6.5%","0%","100%",4,11,3,0.6,"43.8%","23.4%","0%",-652,-473,-3.5,7.2,"24.4%",357,"22.2%","19.2%",0.49,0.13
"Elise","Jungle",1,"1.3%","0.0%","1.3%","0%","100%",0,2,4,2,"100.0%","10.0%","0%",-522,293,-1,3.9,"11.5%",207,"14.3%","15.1%",0.29,0.33
"Evelynn","Jungle",1,"1.3%","0.0%","1.3%","0%","100%",0,1,2,2,"66.7%","9.1%","0%",205,-168,0,5.1,"13.7%",266,"22.1%","18.1%",0.36,0.2
"Ezreal","ADC",8,"10.4%","1.3%","11.7%","38%","100%",19,18,35,3,"58.7%","14.4%","38%",29,55,-4.9,10,"31.8%",667,"33.6%","27.0%",0.45,0.26
"Fiora","Top",2,"2.6%","0.0%","2.6%","0%","100%",6,3,3,3,"52.9%","9.7%","50%",417,465,16,10.3,"30.0%",501,"29.4%","28.2%",0.45,0.16
"Galio","Middle",21,"27.3%","22.1%","49.4%","48%","67%",47,45,99,3.2,"66.4%","18.1%","29%",-79,-125,-3.5,8.7,"25.1%",343,"21.3%","22.0%",0.53,0.16
"Gangplank","Top",2,"2.6%","1.3%","3.9%","50%","100%",5,3,14,6.3,"52.8%","10.0%","0%",347,80,-9.5,9.4,"34.3%",846,"33.2%","28.7%",0.45,0.13
"Gragas","Jungle",21,"27.3%","11.7%","53.2%","48%","48%",39,47,135,3.7,"71.6%","20.1%","48%",-44,-10,-3.5,4.6,"11.0%",267,"15.9%","15.9%",0.5,0.3
"Gragas","Support",10,"13.0%","11.7%","53.2%","30%","70%",3,38,58,1.6,"64.9%","26.2%","20%",-140,-89,-11.2,0.6,"2.8%",206,"13.3%","8.4%",1.51,0.31
"Gragas","Top",1,"1.3%","11.7%","53.2%","0%","0%",3,3,6,3,"56.3%","17.6%","0%",-454,-208,-2,6.8,"19.7%",315,"14.2%","17.9%",0.46,0
"Graves","Jungle",4,"5.2%","0.0%","5.2%","25%","100%",13,7,9,3.1,"88.0%","13.7%","25%",-28,280,7.3,6,"15.9%",277,"20.2%","21.2%",0.36,0.44
"Hecarim","Top",1,"1.3%","1.3%","2.6%","100%","100%",5,2,3,4,"61.5%","33.3%","0%",-424,-482,-1,9.4,"26.0%",416,"23.3%","24.5%",0.49,0.11
"Heimerdinger","ADC",2,"2.6%","16.9%","19.5%","100%","0%",4,0,10,14,"73.7%","0.0%","0%",-50,84,1.5,10.3,"27.8%",625,"34.6%","24.9%",0.29,0.36
"Irelia","Middle",13,"16.9%","51.9%","83.1%","62%","23%",46,38,53,2.6,"64.3%","27.1%","38%",-46,-230,-2.1,9.2,"26.4%",343,"19.6%","24.3%",0.44,0.21
"Irelia","Top",11,"14.3%","51.9%","83.1%","55%","45%",41,33,53,2.8,"65.7%","25.2%","36%",-25,-31,3.5,9.4,"28.2%",381,"21.9%","24.3%",0.45,0.11
"Jarvan IV","Jungle",3,"3.9%","0.0%","3.9%","33%","100%",7,11,25,2.9,"94.1%","34.4%","67%",-30,-238,3,4.9,"13.2%",215,"11.1%","18.6%",0.45,0.4
"Jax","Jungle",1,"1.3%","2.6%","5.2%","0%","100%",1,4,7,2,"66.7%","16.7%","0%",266,647,5,4.7,"14.6%",249,"12.0%","16.2%",0.47,0.24
"Jax","Top",1,"1.3%","2.6%","5.2%","100%","100%",2,1,4,6,"50.0%","16.7%","100%",261,352,-10,11,"30.5%",305,"23.5%","25.9%",0.53,0.21
"Jayce","Middle",1,"1.3%","10.4%","16.9%","100%","100%",4,1,7,11,"68.8%","25.0%","100%",1017,197,30,9.5,"26.9%",825,"30.3%","23.4%",0.48,0.34
