"Champion","Pos","GP","P%","B%","P+B%","W%","CTR%","K","D","A","KDA","KP","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","GOLD%","WPM","WCPM"
"Jayce","Top",4,"5.2%","10.4%","16.9%","50%","100%",12,15,14,1.7,"57.8%","26.8%","25%",288,337,12.5,9.3,"27.4%",704,"31.8%","24.3%",0.51,0.21
"Jhin","ADC",6,"7.8%","6.5%","14.3%","33%","67%",8,9,23,3.4,"62.0%","11.8%","33%",-8,-35,-3.7,10.6,"30.8%",364,"25.3%","25.8%",0.31,0.33
"Kai'Sa","ADC",43,"55.8%","24.7%","80.5%","49%","30%",167,79,176,4.3,"72.4%","16.3%","23%",-28,-99,-1.2,10.2,"32.5%",486,"29.4%","27.7%",0.38,0.37
"Kalista","ADC",2,"2.6%","0.0%","2.6%","50%","50%",5,5,13,3.6,"64.3%","15.6%","50%",64,154,0,9.5,"32.1%",330,"19.0%","24.3%",0.31,0.37
"Kassadin","Middle",1,"1.3%","0.0%","1.3%","0%","100%",0,3,1,0.3,"20.0%","18.8%","0%",-1586,-1446,-44,7.2,"28.8%",152,"9.5%","19.2%",0.42,0.14
"Kindred","Jungle",6,"7.8%","22.1%","29.9%","33%","67%",8,20,30,1.9,"69.1%","25.6%","33%",-106,-3,3.8,5.5,"14.8%",256,"16.0%","18.5%",0.34,0.44
"Kled","Top",1,"1.3%","0.0%","1.3%","100%","100%",2,1,7,9,"45.0%","25.0%","0%",-692,-984,-22,8.6,"29.9%",360,"17.9%","19.3%",0.48,0.15
"LeBlanc","Middle",17,"22.1%","44.2%","66.2%","71%","41%",71,34,80,4.4,"61.9%","18.7%","35%",336,353,7.1,8.4,"23.1%",543,"26.5%","22.2%",0.38,0.24
"Lee Sin","Jungle",17,"22.1%","9.1%","31.2%","53%","65%",46,35,85,3.7,"69.3%","20.0%","41%",156,41,0.2,5,"12.6%",214,"13.2%","18.2%",0.67,0.26
"Leona","Support",11,"14.3%","2.6%","16.9%","64%","100%",11,33,93,3.2,"70.3%","25.8%","18%",-59,77,9.3,1.8,"5.8%",122,"7.0%","10.1%",1.54,0.37
"Lissandra","Middle",22,"28.6%","27.3%","55.8%","32%","55%",44,61,112,2.6,"66.4%","19.8%","9%",-41,99,4.3,8.8,"25.2%",412,"25.5%","22.8%",0.41,0.21
"Lucian","ADC",15,"19.5%","10.4%","29.9%","60%","47%",50,26,69,4.6,"64.7%","14.7%","13%",138,99,8.4,10.2,"31.1%",510,"27.0%","27.3%",0.44,0.42
"Lulu","Middle",1,"1.3%","0.0%","1.3%","0%","100%",0,0,5,5,"100.0%","0.0%","100%",-46,22,-2,9.4,"22.0%",308,"28.1%","22.1%",0.59,0.34
"Malzahar","Middle",1,"1.3%","2.6%","3.9%","0%","100%",0,3,4,1.3,"66.7%","25.0%","0%",-42,-154,10,9.2,"26.2%",385,"30.9%","22.2%",0.6,0.2
"Mordekaiser","ADC",1,"1.3%","0.0%","1.3%","0%","100%",0,3,3,1,"75.0%","23.1%","0%",-53,104,-5,7.5,"20.8%",322,"19.8%","20.0%",0.45,0.27
"Nami","Support",1,"1.3%","0.0%","1.3%","0%","100%",0,3,1,0.3,"20.0%","15.8%","0%",-440,-413,-8,0.4,"0.8%",167,"11.1%","5.7%",0.87,0.26
"Nautilus","Support",2,"2.6%","1.3%","3.9%","50%","100%",1,10,16,1.7,"63.0%","25.6%","0%",-152,-213,3.5,2.1,"7.1%",176,"8.7%","9.8%",1.75,0.24
"Nidalee","Jungle",1,"1.3%","0.0%","1.3%","0%","100%",0,4,3,0.8,"60.0%","22.2%","0%",-381,-316,1,5.2,"16.3%",347,"20.3%","17.8%",0.57,0.16
"Nocturne","Jungle",22,"28.6%","40.3%","68.8%","68%","41%",44,51,113,3.1,"62.1%","21.0%","27%",-59,16,0.5,5.2,"13.4%",223,"12.5%","17.1%",0.45,0.3
"Olaf","Jungle",16,"20.8%","14.3%","35.1%","44%","56%",54,29,79,4.6,"68.9%","16.0%","19%",129,224,3.8,5,"12.2%",281,"16.5%","17.9%",0.55,0.42
"Ornn","Top",12,"15.6%","16.9%","32.5%","83%","58%",18,25,91,4.4,"60.6%","18.1%","17%",-25,63,-0.3,7.5,"20.5%",326,"17.6%","18.7%",0.47,0.11
"Poppy","Jungle",2,"2.6%","3.9%","14.3%","0%","50%",3,5,7,2,"90.9%","13.2%","50%",-294,-256,-5,4.6,"12.6%",210,"12.5%","17.8%",0.52,0.37
"Poppy","Support",1,"1.3%","3.9%","14.3%","0%","100%",1,5,5,1.2,"75.0%","21.7%","0%",25,-178,1,2,"6.9%",140,"7.0%","11.0%",2.37,0.38
"Poppy","Top",5,"6.5%","3.9%","14.3%","40%","80%",4,10,18,2.2,"44.9%","19.6%","0%",-61,237,-2.4,7.9,"21.5%",314,"19.6%","19.9%",0.49,0.15
"Pyke","-",0,"0%","2.6%","2.6%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Rakan","Support",31,"40.3%","32.5%","72.7%","55%","39%",29,73,257,3.9,"74.9%","21.3%","26%",37,-58,-10.8,0.5,"2.0%",152,"8.4%","9.9%",1.49,0.41
"Rek'Sai","Jungle",1,"1.3%","0.0%","1.3%","100%","100%",10,3,8,6,"66.7%","23.1%","0%",440,465,4,6,"17.4%",520,"16.4%","21.8%",0.4,0.17
"Ryze","Middle",13,"16.9%","22.1%","44.2%","38%","46%",34,28,52,3.1,"67.2%","18.2%","31%",-52,-57,-1.4,9.7,"28.9%",420,"26.3%","25.1%",0.48,0.14
"Ryze","Top",4,"5.2%","22.1%","44.2%","75%","100%",6,4,16,5.5,"40.7%","14.8%","0%",175,-53,5.8,10.3,"29.5%",418,"23.8%","23.5%",0.46,0.16
"Shen","Support",8,"10.4%","15.6%","36.4%","63%","63%",2,23,62,2.8,"59.8%","28.8%","13%",-1,-89,8,2,"6.4%",100,"5.9%","10.1%",1.54,0.34
"Shen","Top",8,"10.4%","15.6%","36.4%","50%","100%",19,11,40,5.4,"72.8%","13.4%","25%",-338,-234,-12.3,8.4,"26.4%",246,"15.8%","22.1%",0.48,0.12
"Singed","Top",1,"1.3%","0.0%","1.3%","100%","100%",5,1,7,12,"70.6%","12.5%","0%",-196,-29,-12,9.8,"28.3%",540,"23.2%","23.7%",0.39,0.09
"Sion","Middle",5,"6.5%","19.5%","57.1%","80%","60%",5,3,30,11.7,"63.6%","12.5%","0%",80,-234,-6.2,8.1,"19.9%",223,"15.9%","19.7%",0.52,0.25
"Sion","Top",24,"31.2%","19.5%","57.1%","38%","42%",21,56,137,2.8,"58.7%","18.4%","8%",-132,-116,-2.3,7.4,"21.1%",338,"20.9%","19.1%",0.48,0.13
"Sivir","ADC",18,"23.4%","11.7%","35.1%","67%","83%",62,30,114,5.9,"71.0%","16.3%","11%",-64,119,-0.9,10.8,"35.1%",588,"30.5%","28.3%",0.4,0.38
"Skarner","Jungle",3,"3.9%","10.4%","14.3%","0%","67%",3,10,18,2.1,"75.0%","18.9%","0%",94,213,9.3,4.9,"11.5%",162,"9.8%","16.8%",0.49,0.36
"Swain","Middle",6,"7.8%","10.4%","24.7%","50%","83%",26,14,22,3.4,"71.6%","20.3%","0%",-154,-106,-11.2,8.8,"26.2%",413,"27.8%","23.4%",0.52,0.19
"Swain","Top",5,"6.5%","10.4%","24.7%","40%","60%",12,14,16,2,"65.1%","21.5%","0%",371,388,8.6,7.7,"23.1%",612,"33.7%","22.6%",0.55,0.09
"Syndra","Middle",19,"24.7%","27.3%","51.9%","47%","42%",51,41,97,3.6,"72.5%","21.6%","11%",105,75,5.9,9.1,"25.6%",476,"27.3%","23.5%",0.48,0.22
"Tahm Kench","Support",16,"20.8%","44.2%","64.9%","44%","75%",8,36,80,2.4,"60.7%","22.9%","13%",53,-11,3.4,2,"5.9%",112,"7.6%","9.9%",1.64,0.2
"Taliyah","Jungle",17,"22.1%","32.5%","54.5%","59%","12%",54,32,93,4.6,"77.0%","19.9%","59%",18,-32,-2.5,5.6,"15.5%",377,"21.7%","19.8%",0.44,0.3
"Thresh","Support",21,"27.3%","19.5%","46.8%","43%","24%",13,72,198,2.9,"75.4%","24.3%","33%",83,95,2.3,1,"2.9%",143,"8.1%","8.6%",1.44,0.32
"Tristana","ADC",9,"11.7%","6.5%","18.2%","44%","67%",19,9,24,4.8,"63.2%","11.4%","33%",-177,-89,-6.3,10.8,"34.0%",451,"32.6%","28.6%",0.38,0.47
"Trundle","Jungle",1,"1.3%","0.0%","1.3%","0%","100%",0,5,5,1,"62.5%","29.4%","0%",-127,-293,-2,3.9,"10.3%",163,"9.4%","13.1%",0.49,0.21
"Urgot","Middle",2,"2.6%","58.4%","94.8%","50%","0%",3,4,2,1.3,"35.7%","28.6%","0%",-467,-223,-11,7.4,"19.6%",250,"13.9%","19.5%",0.67,0.22
"Urgot","Top",26,"33.8%","58.4%","94.8%","46%","15%",71,70,103,2.5,"64.9%","22.4%","8%",118,78,2.6,8.3,"23.6%",380,"24.2%","23.2%",0.49,0.21
"Varus","ADC",11,"14.3%","14.3%","28.6%","45%","73%",32,25,42,3,"67.9%","23.8%","18%",-13,74,1.9,9.5,"27.5%",389,"24.5%","25.2%",0.43,0.36
"Vel'Koz","Middle",2,"2.6%","3.9%","6.5%","50%","100%",3,4,7,2.5,"55.6%","18.2%","50%",64,60,-7,8.8,"24.1%",434,"28.2%","21.9%",0.76,0.39
"Viktor","ADC",1,"1.3%","7.8%","16.9%","0%","0%",0,2,7,3.5,"77.8%","15.4%","100%",254,167,8,8.6,"23.5%",302,"22.9%","21.0%",0.33,0.09
"Viktor","Middle",1,"1.3%","7.8%","16.9%","0%","0%",2,5,4,1.2,"50.0%","20.8%","100%",511,181,-4,6.4,"20.3%",501,"24.2%","19.5%",0.43,0
"Viktor","Top",5,"6.5%","7.8%","16.9%","60%","40%",19,12,27,3.8,"59.0%","23.1%","0%",545,498,6.2,8.7,"26.6%",697,"32.5%","25.5%",0.53,0.09
"Xayah","ADC",34,"44.2%","36.4%","80.5%","50%","29%",127,61,156,4.6,"67.9%","15.4%","26%",50,-17,0.6,10.3,"33.1%",524,"29.7%","27.8%",0.4,0.4
"Xin Zhao","Jungle",25,"32.5%","24.7%","57.1%","56%","44%",68,59,141,3.5,"65.9%","21.3%","48%",115,-15,0.5,4.8,"12.7%",266,"15.0%","17.8%",0.38,0.34
"Yasuo","Middle",1,"1.3%","2.6%","3.9%","100%","100%",1,5,9,2,"83.3%","50.0%","0%",64,322,0,8,"26.9%",278,"16.0%","23.2%",0.42,0.19
"Zac","Jungle",1,"1.3%","2.6%","3.9%","100%","100%",0,0,10,10,"76.9%","0.0%","100%",-46,369,4,4.9,"13.3%",286,"15.4%","15.5%",0.43,0.22
"Zilean","Middle",2,"2.6%","9.1%","11.7%","50%","0%",15,4,16,7.8,"86.1%","14.8%","50%",275,329,-0.5,9.4,"28.3%",616,"28.2%","27.8%",0.43,0.23
"Zoe","Middle",2,"2.6%","1.3%","3.9%","0%","100%",3,6,9,2,"80.0%","24.0%","50%",-166,-584,-18,8.5,"24.5%",332,"23.5%","23.4%",0.53,0.15
