"Champion","Pos","GP","P%","B%","P+B%","W%","CTR%","K","D","A","KDA","KP","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","GOLD%","WPM","WCPM"
"Irelia","ADC",1,"3.6%","10.7%","25.0%","0%","-",10,4,2,3,"66.7%","26.7%","-","-","-","-","-","-","-","-","29.8%","-","-"
"Irelia","Middle",1,"3.6%","10.7%","25.0%","0%","-",1,5,9,2,"83.3%","20.8%","-","-","-","-","-","-","-","-","19.5%","-","-"
"Irelia","Top",2,"7.1%","10.7%","25.0%","50%","-",11,4,13,6,"75.0%","11.4%","-","-","-","-","-","-","-","-","22.3%","-","-"
"Janna","Support",18,"64.3%","3.6%","67.9%","56%","-",5,42,171,4.2,"62.6%","16.1%","-","-","-","-","-","-","-","-","9.7%","-","-"
"Jarvan IV","Jungle",7,"25.0%","25.0%","71.4%","71%","-",22,24,80,4.3,"72.3%","22.0%","-","-","-","-","-","-","-","-","18.0%","-","-"
"Jarvan IV","Top",6,"21.4%","25.0%","71.4%","50%","-",14,12,50,5.3,"66.7%","15.4%","-","-","-","-","-","-","-","-","28.2%","-","-"
"Karthus","Middle",2,"7.1%","10.7%","32.1%","50%","-",9,12,19,2.3,"77.8%","29.3%","-","-","-","-","-","-","-","-","24.0%","-","-"
"Karthus","Top",4,"14.3%","10.7%","32.1%","25%","-",7,31,28,1.1,"58.3%","31.0%","-","-","-","-","-","-","-","-","20.5%","-","-"
"Kassadin","Middle",1,"3.6%","0.0%","3.6%","0%","-",3,3,0,1,"42.9%","15.8%","-","-","-","-","-","-","-","-","25.1%","-","-"
"Lee Sin","ADC",1,"3.6%","0.0%","7.1%","100%","-",4,7,8,1.7,"50.0%","36.8%","-","-","-","-","-","-","-","-","19.9%","-","-"
"Lee Sin","Middle",1,"3.6%","0.0%","7.1%","0%","-",2,3,0,0.7,"33.3%","18.8%","-","-","-","-","-","-","-","-","25.3%","-","-"
"Lux","Top",1,"3.6%","0.0%","3.6%","0%","-",1,3,1,0.7,"100.0%","15.0%","-","-","-","-","-","-","-","-","15.8%","-","-"
"Malzahar","Middle",9,"32.1%","0.0%","57.1%","67%","-",46,25,63,4.4,"72.7%","19.8%","-","-","-","-","-","-","-","-","25.1%","-","-"
"Malzahar","Top",7,"25.0%","0.0%","57.1%","43%","-",21,17,30,3,"58.0%","21.5%","-","-","-","-","-","-","-","-","23.8%","-","-"
"Miss Fortune","ADC",8,"28.6%","0.0%","28.6%","25%","-",21,23,22,1.9,"50.0%","16.1%","-","-","-","-","-","-","-","-","26.0%","-","-"
"Mordekaiser","Top",1,"3.6%","7.1%","10.7%","100%","-",3,0,9,12,"70.6%","0.0%","-","-","-","-","-","-","-","-","25.5%","-","-"
"Nidalee","Top",4,"14.3%","53.6%","67.9%","75%","-",10,8,14,3,"55.8%","21.1%","-","-","-","-","-","-","-","-","22.4%","-","-"
"Nocturne","Jungle",4,"14.3%","10.7%","25.0%","50%","-",13,11,29,3.8,"57.5%","21.2%","-","-","-","-","-","-","-","-","17.5%","-","-"
"Nunu & Willump","Jungle",18,"64.3%","32.1%","96.4%","67%","-",19,48,155,3.6,"69.0%","19.8%","-","-","-","-","-","-","-","-","17.3%","-","-"
"Poppy","ADC",1,"3.6%","0.0%","3.6%","0%","-",0,2,4,2,"44.4%","14.3%","-","-","-","-","-","-","-","-","15.8%","-","-"
"Rammus","Jungle",1,"3.6%","0.0%","3.6%","0%","-",1,4,5,1.5,"85.7%","20.0%","-","-","-","-","-","-","-","-","15.1%","-","-"
"Rumble","Middle",2,"7.1%","75.0%","82.1%","100%","-",7,3,18,8.3,"78.1%","27.3%","-","-","-","-","-","-","-","-","19.7%","-","-"
"Singed","Top",4,"14.3%","7.1%","21.4%","50%","-",14,9,35,5.4,"65.3%","15.5%","-","-","-","-","-","-","-","-","24.1%","-","-"
"Sion","Top",1,"3.6%","0.0%","3.6%","100%","-",2,0,6,8,"72.7%","0.0%","-","-","-","-","-","-","-","-","25.1%","-","-"
"Sona","Support",15,"53.6%","10.7%","64.3%","60%","-",8,29,128,4.7,"68.7%","14.7%","-","-","-","-","-","-","-","-","9.6%","-","-"
"Soraka","Support",7,"25.0%","3.6%","28.6%","29%","-",2,19,61,3.3,"63.0%","16.0%","-","-","-","-","-","-","-","-","7.9%","-","-"
"Swain","Middle",5,"17.9%","0.0%","17.9%","40%","-",12,15,24,2.4,"65.5%","19.7%","-","-","-","-","-","-","-","-","21.6%","-","-"
"Taric","Support",10,"35.7%","10.7%","46.4%","30%","-",8,36,60,1.9,"57.1%","20.9%","-","-","-","-","-","-","-","-","10.9%","-","-"
"Teemo","ADC",1,"3.6%","0.0%","7.1%","0%","-",4,4,4,2,"80.0%","36.4%","-","-","-","-","-","-","-","-","22.7%","-","-"
"Teemo","Top",1,"3.6%","0.0%","7.1%","100%","-",14,2,9,11.5,"100.0%","8.7%","-","-","-","-","-","-","-","-","29.7%","-","-"
"Tristana","ADC",2,"7.1%","0.0%","10.7%","50%","-",17,8,1,2.3,"78.3%","28.6%","-","-","-","-","-","-","-","-","32.9%","-","-"
"Tristana","Top",1,"3.6%","0.0%","10.7%","0%","-",0,5,1,0.2,"50.0%","21.7%","-","-","-","-","-","-","-","-","24.2%","-","-"
"Trundle","Jungle",3,"10.7%","0.0%","10.7%","0%","-",2,10,6,0.8,"66.7%","22.7%","-","-","-","-","-","-","-","-","15.1%","-","-"
"Twisted Fate","Middle",4,"14.3%","64.3%","78.6%","50%","-",8,18,22,1.7,"50.0%","27.7%","-","-","-","-","-","-","-","-","22.4%","-","-"
"Urgot","Middle",1,"3.6%","0.0%","3.6%","0%","-",2,3,2,1.3,"44.4%","21.4%","-","-","-","-","-","-","-","-","20.9%","-","-"
"Vayne","ADC",7,"25.0%","42.9%","71.4%","57%","-",35,26,32,2.6,"74.4%","28.0%","-","-","-","-","-","-","-","-","25.5%","-","-"
"Vayne","Top",1,"3.6%","42.9%","71.4%","0%","-",11,9,12,2.6,"76.7%","36.0%","-","-","-","-","-","-","-","-","27.6%","-","-"
"Vladimir","Middle",4,"14.3%","50.0%","78.6%","50%","-",18,12,16,2.8,"72.3%","19.7%","-","-","-","-","-","-","-","-","25.9%","-","-"
"Vladimir","Top",4,"14.3%","50.0%","78.6%","25%","-",18,16,15,2.1,"67.3%","25.4%","-","-","-","-","-","-","-","-","25.6%","-","-"
"Warwick","Jungle",9,"32.1%","10.7%","50.0%","44%","-",23,22,58,3.7,"65.9%","19.8%","-","-","-","-","-","-","-","-","17.4%","-","-"
"Warwick","Top",2,"7.1%","10.7%","50.0%","100%","-",10,3,19,9.7,"85.3%","12.5%","-","-","-","-","-","-","-","-","19.8%","-","-"
"Zilean","Middle",2,"7.1%","17.9%","25.0%","50%","-",10,3,16,8.7,"68.4%","17.6%","-","-","-","-","-","-","-","-","19.3%","-","-"
