"Champion","Pos","GP","P%","B%","P+B%","W%","CTR%","K","D","A","KDA","KP","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","GOLD%","WPM","WCPM"
"Akali","Top",1,"3.6%","21.4%","25.0%","100%","-",7,4,7,3.5,"58.3%","21.1%","-","-","-","-","-","-","-","-","20.6%","-","-"
"Alistar","Jungle",3,"10.7%","42.9%","89.3%","33%","-",4,13,17,1.6,"61.8%","27.1%","-","-","-","-","-","-","-","-","13.3%","-","-"
"Alistar","Middle",3,"10.7%","42.9%","89.3%","100%","-",25,7,26,7.3,"77.3%","17.5%","-","-","-","-","-","-","-","-","25.3%","-","-"
"Alistar","Support",6,"21.4%","42.9%","89.3%","67%","-",9,10,46,5.5,"54.5%","17.9%","-","-","-","-","-","-","-","-","11.6%","-","-"
"Alistar","Top",1,"3.6%","42.9%","89.3%","0%","-",7,5,7,2.8,"77.8%","20.8%","-","-","-","-","-","-","-","-","25.5%","-","-"
"Amumu","Jungle",10,"35.7%","28.6%","64.3%","30%","-",13,41,67,2,"58.4%","23.3%","-","-","-","-","-","-","-","-","16.6%","-","-"
"Anivia","Middle",7,"25.0%","17.9%","50.0%","43%","-",22,15,30,3.5,"71.2%","15.2%","-","-","-","-","-","-","-","-","24.1%","-","-"
"Anivia","Top",2,"7.1%","17.9%","50.0%","100%","-",15,3,23,12.7,"79.2%","13.0%","-","-","-","-","-","-","-","-","24.0%","-","-"
"Annie","Middle",8,"28.6%","7.1%","35.7%","50%","-",42,31,57,3.2,"66.0%","25.6%","-","-","-","-","-","-","-","-","21.1%","-","-"
"Ashe","ADC",16,"57.1%","7.1%","67.9%","81%","-",72,37,117,5.1,"66.3%","18.6%","-","-","-","-","-","-","-","-","25.6%","-","-"
"Ashe","Middle",1,"3.6%","7.1%","67.9%","0%","-",1,0,2,3,"75.0%","0.0%","-","-","-","-","-","-","-","-","24.0%","-","-"
"Blitzcrank","ADC",1,"3.6%","0.0%","3.6%","0%","-",8,4,17,6.3,"83.3%","16.0%","-","-","-","-","-","-","-","-","22.5%","-","-"
"Brand","Middle",4,"14.3%","0.0%","28.6%","50%","-",14,8,20,4.3,"65.4%","17.0%","-","-","-","-","-","-","-","-","20.8%","-","-"
"Brand","Top",4,"14.3%","0.0%","28.6%","25%","-",13,14,15,2,"66.7%","20.9%","-","-","-","-","-","-","-","-","20.2%","-","-"
"Caitlyn","ADC",3,"10.7%","0.0%","14.3%","0%","-",2,12,4,0.5,"50.0%","25.5%","-","-","-","-","-","-","-","-","30.8%","-","-"
"Caitlyn","Middle",1,"3.6%","0.0%","14.3%","0%","-",0,3,1,0.3,"50.0%","15.0%","-","-","-","-","-","-","-","-","28.3%","-","-"
"Cho'Gath","Top",3,"10.7%","0.0%","10.7%","33%","-",4,5,7,2.2,"32.4%","16.7%","-","-","-","-","-","-","-","-","22.7%","-","-"
"Corki","ADC",14,"50.0%","17.9%","71.4%","50%","-",66,38,60,3.3,"61.8%","20.3%","-","-","-","-","-","-","-","-","27.4%","-","-"
"Corki","Top",1,"3.6%","17.9%","71.4%","100%","-",4,3,4,2.7,"57.1%","33.3%","-","-","-","-","-","-","-","-","25.2%","-","-"
"Dr. Mundo","Top",1,"3.6%","0.0%","3.6%","0%","-",0,3,1,0.3,"50.0%","13.6%","-","-","-","-","-","-","-","-","22.5%","-","-"
"Gangplank","Jungle",1,"3.6%","0.0%","3.6%","100%","-",3,0,10,13,"65.0%","0.0%","-","-","-","-","-","-","-","-","17.5%","-","-"
"Garen","ADC",1,"3.6%","0.0%","3.6%","0%","-",5,5,3,1.6,"100.0%","20.8%","-","-","-","-","-","-","-","-","26.1%","-","-"
"Gragas","Top",4,"14.3%","10.7%","25.0%","75%","-",15,4,25,10,"72.7%","12.9%","-","-","-","-","-","-","-","-","25.3%","-","-"
